"STATE OF CONNECTICUT AVERAGE WEEKLY INITIAL CLAIMS (Seasonally Adjusted)"
"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Jan","5,668","7,160","4,061","4,495","4,899","3,650","3,260","3,393","5,155","6,366","6,855","5,661","5,357","4,524","4,627","3,832","3,253","3,958","3,618","4,039","5,546","5,271","4,688","4,722","3,751","4,043","4,083","6,263","5,225","5,305","5,002","4,873","4,524","4,155","3,661","3,845","3,549","3,184","2,854"
"Feb","6,951","6,129","4,151","4,360","4,105","3,612","3,237","3,831","4,774","6,448","7,129","5,502","4,842","4,846","4,605","3,869","3,572","3,911","3,316","4,232","4,678","4,967","4,436","3,851","3,872","4,117","4,181","7,143","5,831","5,425","4,637","4,962","4,059","4,168","3,886","3,533","3,944","2,985","2,927"
"Mar","7,087","6,230","3,914","4,379","4,225","3,400","3,127","3,705","5,481","6,118","6,483","5,915","5,676","4,918","4,208","4,032","3,446","3,974","3,424","5,038","5,397","5,167","4,298","4,377","4,009","3,874","4,126","7,232","6,183","5,163","5,106","4,686","4,353","4,115","3,677","4,505","4,026","3,121","23,264"
"Apr","7,271","5,684","3,997","4,608","4,111","3,123","2,899","4,229","5,464","6,512","6,082","5,781","5,242","4,804","4,304","4,391","3,536","3,709","3,243","4,537","5,373","5,063","4,201","4,045","4,059","4,060","4,332","6,779","5,397","5,253","4,842","4,867","4,388","3,990","3,909","3,487","3,425","4,146"
"May","7,680","5,455","3,905","4,687","4,006","3,275","3,102","3,906","5,672","6,383","6,038","5,443","5,239","4,946","4,362","3,771","3,684","3,733","3,202","5,230","6,422","5,134","4,159","3,929","4,068","3,907","4,450","6,752","5,372","5,373","4,940","4,672","4,207","3,803","4,040","4,046","3,280","3,114"
"Jun","7,447","5,289","3,806","4,608","3,991","3,083","3,183","4,469","5,316","6,486","6,255","5,208","4,751","5,263","4,024","3,859","3,807","3,726","3,683","4,847","5,755","4,908","4,169","3,923","4,178","4,096","4,755","6,577","5,202","4,889","5,134","4,328","4,154","3,952","4,386","3,770","3,120","3,655"
"Jul","7,283","5,062","4,101","4,668","3,615","3,252","3,984","4,584","5,232","6,630","5,975","4,920","4,932","5,004","4,374","3,696","3,869","3,658","3,349","5,349","5,196","5,193","4,050","4,061","4,093","3,950","4,749","6,621","5,413","5,133","4,865","5,282","4,268","3,834","3,763","3,893","3,517","3,046"
"Aug","7,214","4,999","3,631","4,601","3,907","3,081","3,459","4,644","5,233","8,114","6,160","5,059","4,807","4,686","4,138","3,677","4,092","3,748","3,939","5,500","5,173","4,826","4,007","4,267","3,960","3,844","5,543","6,504","6,332","5,056","4,897","4,578","4,102","4,005","4,008","3,660","3,184","3,280"
"Sep","10,083","5,566","3,970","4,371","3,891","2,953","3,122","4,690","6,432","6,717","6,175","5,184","4,769","4,733","4,114","3,531","4,914","3,806","3,240","5,767","5,322","4,853","4,331","4,150","3,947","3,805","5,452","6,128","5,419","6,196","4,875","4,563","4,155","3,714","3,922","3,907","3,097","3,279"
"Oct","8,942","5,029","3,921","4,990","3,636","2,672","3,608","4,673","6,074","6,144","5,678","5,276","4,613","4,848","4,188","3,533","3,561","3,406","3,284","5,906","5,481","4,670","4,029","4,323","3,828","3,990","5,657","5,705","5,363","5,025","4,814","4,713","4,060","3,728","4,002","3,619","3,214","3,238"
"Nov","8,615","4,331","4,618","4,156","3,819","2,924","3,322","4,756","6,068","7,636","5,700","5,872","4,479","4,925","3,860","3,667","3,984","3,471","3,644","5,863","5,116","4,424","4,020","3,986","4,011","4,347","6,210","5,830","5,038","8,574","7,295","4,668","4,428","3,566","3,692","3,606","3,473","3,254"
"Dec","6,921","5,167","5,054","4,033","3,775","3,339","4,066","4,638","5,382","6,913","4,587","4,432","4,944","4,409","4,770","4,585","3,897","3,454","3,138","4,525","5,168","4,627","4,054","4,336","4,552","4,888","6,312","5,592","4,753","4,754","4,767","4,921","4,368","3,623","3,659","3,118","3,896","4,146"
"Connecticut Department of Labor - Office of Research"
