Week Ending,Claims for Chart (from parameter),Continued Weeks Claimed,Continued Weeks Claimed (52-week MA),Initial Claims,Initial Claims (52-week MA),MA Claims for Chart (from parameter),Number of Records
1/8/2000,"8,889","32,519","17,631","8,889","2,872","2,872",1
1/15/2000,"3,512","31,341","17,566","3,512","2,871","2,871",1
1/22/2000,"3,004","29,221","17,519","3,004","2,885","2,885",1
1/29/2000,"3,249","30,141","17,539","3,249","2,904","2,904",1
2/5/2000,"2,782","30,604","17,579","2,782","2,915","2,915",1
2/12/2000,"2,248","30,432","17,624","2,248","2,921","2,921",1
2/19/2000,"2,721","29,890","17,667","2,721","2,937","2,937",1
2/26/2000,"2,115","30,214","17,732","2,115","2,940","2,940",1
3/4/2000,"2,752","29,063","17,775","2,752","2,951","2,951",1
3/11/2000,"2,080","27,855","17,819","2,080","2,950","2,950",1
3/18/2000,"1,871","25,753","17,823","1,871","2,953","2,953",1
3/25/2000,"1,594","23,621","17,834","1,594","2,950","2,950",1
4/1/2000,"1,485","21,988","17,868","1,485","2,927","2,927",1
4/8/2000,"2,197","19,116","17,874","2,197","2,923","2,923",1
4/15/2000,"1,770","17,906","17,880","1,770","2,916","2,916",1
4/22/2000,"1,761","16,863","17,896","1,761","2,916","2,916",1
4/29/2000,"1,716","16,121","17,917","1,716","2,905","2,905",1
5/6/2000,"1,807","14,839","17,917","1,807","2,885","2,885",1
5/13/2000,"1,727","14,332","17,911","1,727","2,880","2,880",1
5/20/2000,"1,687","14,052","17,918","1,687","2,850","2,850",1
5/27/2000,"2,121","13,864","17,907","2,121","2,830","2,830",1
6/3/2000,"2,185","13,693","17,884","2,185","2,832","2,832",1
6/10/2000,"1,975","14,307","17,906","1,975","2,832","2,832",1
6/17/2000,"2,600","14,234","17,931","2,600","2,850","2,850",1
6/24/2000,"1,776","15,141","17,973","1,776","2,837","2,837",1
7/1/2000,"1,655","14,460","17,994","1,655","2,817","2,817",1
7/8/2000,"5,374","14,079","18,004","5,374","2,839","2,839",1
7/15/2000,"2,462","18,204","18,057","2,462","2,793","2,793",1
7/22/2000,"1,833","15,563","18,064","1,833","2,773","2,773",1
7/29/2000,"1,808","14,733","18,048","1,808","2,767","2,767",1
8/5/2000,"1,597","14,961","18,046","1,597","2,755","2,755",1
8/12/2000,"1,634","13,989","18,045","1,634","2,734","2,734",1
8/19/2000,"1,555","14,155","18,035","1,555","2,719","2,719",1
8/26/2000,"1,742","13,892","18,046","1,742","2,712","2,712",1
9/2/2000,"1,956","13,144","18,067","1,956","2,696","2,696",1
9/9/2000,"1,337","12,991","18,078","1,337","2,691","2,691",1
9/16/2000,"1,504","12,231","18,103","1,504","2,678","2,678",1
9/23/2000,"1,652","11,992","18,112","1,652","2,679","2,679",1
9/30/2000,"2,207","11,992","18,136","2,207","2,681","2,681",1
10/7/2000,"2,161","12,523","18,166","2,161","2,674","2,674",1
10/14/2000,"2,073","12,540","18,193","2,073","2,675","2,675",1
10/21/2000,"2,111","12,740","18,221","2,111","2,677","2,677",1
10/28/2000,"2,339","12,900","18,248","2,339","2,638","2,638",1
11/4/2000,"3,044","13,366","18,238","3,044","2,656","2,656",1
11/11/2000,"2,938","13,864","18,281","2,938","2,679","2,679",1
11/18/2000,"4,677","15,434","18,354","4,677","2,711","2,711",1
11/25/2000,"5,649","16,772","18,436","5,649","2,764","2,764",1
12/2/2000,"4,211","21,838","18,558","4,211","2,773","2,773",1
12/9/2000,"4,411","20,417","18,644","4,411","2,771","2,771",1
12/16/2000,"6,067","22,809","18,733","6,067","2,809","2,809",1
12/23/2000,"8,403","27,334","18,878","8,403","2,815","2,815",1
12/30/2000,"14,201","32,637","19,013","14,201","2,927","2,927",1
1/6/2001,"3,925","43,926","19,232","3,925","2,832","2,832",1
1/13/2001,"5,233","37,192","19,345","5,233","2,865","2,865",1
1/20/2001,"3,597","34,093","19,438","3,597","2,876","2,876",1
1/27/2001,"3,284","35,015","19,532","3,284","2,877","2,877",1
2/3/2001,"3,145","34,207","19,601","3,145","2,884","2,884",1
2/10/2001,"3,060","35,151","19,692","3,060","2,900","2,900",1
2/17/2001,"3,424","35,002","19,791","3,424","2,913","2,913",1
2/24/2001,"2,682","35,342","19,889","2,682","2,924","2,924",1
3/3/2001,"2,957","35,020","20,004","2,957","2,928","2,928",1
3/10/2001,"2,695","34,202","20,126","2,695","2,940","2,940",1
3/17/2001,"2,740","33,567","20,276","2,740","2,957","2,957",1
3/24/2001,"2,838","33,746","20,471","2,838","2,981","2,981",1
3/31/2001,"3,695","31,834","20,660","3,695","3,023","3,023",1
4/7/2001,"3,210","31,112","20,891","3,210","3,043","3,043",1
4/14/2001,"2,243","27,801","21,081","2,243","3,052","3,052",1
4/21/2001,"3,041","26,083","21,258","3,041","3,076","3,076",1
4/28/2001,"6,359","24,067","21,411","6,359","3,166","3,166",1
5/5/2001,"2,761","25,601","21,618","2,761","3,184","3,184",1
5/12/2001,"2,337","22,412","21,774","2,337","3,196","3,196",1
5/19/2001,"3,573","21,179","21,911","3,573","3,232","3,232",1
5/26/2001,"2,968","21,847","22,064","2,968","3,248","3,248",1
6/2/2001,"2,498","21,005","22,205","2,498","3,254","3,254",1
6/9/2001,"3,337","20,557","22,325","3,337","3,280","3,280",1
6/16/2001,"3,273","21,067","22,456","3,273","3,293","3,293",1
6/23/2001,"2,582","21,287","22,575","2,582","3,309","3,309",1
6/30/2001,"4,284","20,759","22,696","4,284","3,359","3,359",1
7/7/2001,"10,344","21,938","22,847","10,344","3,455","3,455",1
7/14/2001,"3,731","28,782","23,050","3,731","3,479","3,479",1
7/21/2001,"3,234","22,928","23,192","3,234","3,506","3,506",1
7/28/2001,"3,162","22,406","23,339","3,162","3,532","3,532",1
8/4/2001,"2,967","22,580","23,486","2,967","3,559","3,559",1
8/11/2001,"4,049","22,164","23,643","4,049","3,605","3,605",1
8/18/2001,"2,248","22,860","23,811","2,248","3,618","3,618",1
8/25/2001,"2,461","20,808","23,944","2,461","3,632","3,632",1
9/1/2001,"2,413","20,282","24,081","2,413","3,641","3,641",1
9/8/2001,"2,608","18,870","24,194","2,608","3,666","3,666",1
9/15/2001,"4,496","19,227","24,328","4,496","3,723","3,723",1
9/22/2001,"3,480","20,791","24,498","3,480","3,758","3,758",1
9/29/2001,"4,421","20,669","24,664","4,421","3,801","3,801",1
10/6/2001,"4,096","21,704","24,841","4,096","3,838","3,838",1
10/13/2001,"3,557","21,448","25,012","3,557","3,867","3,867",1
10/20/2001,"5,222","21,487","25,181","5,222","3,926","3,926",1
10/27/2001,"4,544","23,906","25,392","4,544","3,969","3,969",1
11/3/2001,"3,554","25,213","25,620","3,554","3,979","3,979",1
11/10/2001,"3,976","23,574","25,807","3,976","3,999","3,999",1
11/17/2001,"3,895","24,107","25,974","3,895","3,983","3,983",1
11/24/2001,"7,852","24,134","26,115","7,852","4,026","4,026",1
12/1/2001,"7,039","31,350","26,298","7,039","4,080","4,080",1
12/8/2001,"4,629","29,542","26,474","4,629","4,084","4,084",1
12/15/2001,"4,589","30,346","26,618","4,589","4,056","4,056",1
12/22/2001,"6,273","31,954","26,707","6,273","4,015","4,015",1
12/29/2001,"14,603","34,468","26,743","14,603","4,023","4,023",1
1/5/2002,"9,182","48,084","26,823","9,182","4,124","4,124",1
1/12/2002,"6,528","47,594","27,023","6,528","4,149","4,149",1
1/19/2002,"5,441","42,891","27,192","5,441","4,184","4,184",1
1/26/2002,"3,764","44,819","27,380","3,764","4,193","4,193",1
2/2/2002,"3,635","43,659","27,562","3,635","4,203","4,203",1
2/9/2002,"3,971","44,074","27,734","3,971","4,220","4,220",1
2/16/2002,"3,478","44,282","27,912","3,478","4,221","4,221",1
