state_name,state_fips,state_abbrev,county_name,county_fips,year,month,initial_claims
Georgia,13,GA,Appling,13001,2019,2,63
Georgia,13,GA,Appling,13001,2020,1,69
Georgia,13,GA,Appling,13001,2020,2,67
Georgia,13,GA,Atkinson,13003,2019,2,38
Georgia,13,GA,Atkinson,13003,2020,1,146
Georgia,13,GA,Atkinson,13003,2020,2,47
Georgia,13,GA,Bacon,13005,2019,2,10
Georgia,13,GA,Bacon,13005,2020,1,39
Georgia,13,GA,Bacon,13005,2020,2,18
Georgia,13,GA,Baker,13007,2019,2,3
Georgia,13,GA,Baker,13007,2020,1,6
Georgia,13,GA,Baker,13007,2020,2,5
Georgia,13,GA,Baldwin,13009,2019,2,89
Georgia,13,GA,Baldwin,13009,2020,1,117
Georgia,13,GA,Baldwin,13009,2020,2,62
Georgia,13,GA,Banks,13011,2019,2,41
Georgia,13,GA,Banks,13011,2020,1,142
Georgia,13,GA,Banks,13011,2020,2,32
Georgia,13,GA,Barrow,13013,2019,2,127
Georgia,13,GA,Barrow,13013,2020,1,199
Georgia,13,GA,Barrow,13013,2020,2,133
Georgia,13,GA,Bartow,13015,2019,2,282
Georgia,13,GA,Bartow,13015,2020,1,1359
Georgia,13,GA,Bartow,13015,2020,2,292
Georgia,13,GA,Ben Hill,13017,2019,2,42
Georgia,13,GA,Ben Hill,13017,2020,1,179
Georgia,13,GA,Ben Hill,13017,2020,2,32
Georgia,13,GA,Berrien,13019,2019,2,24
Georgia,13,GA,Berrien,13019,2020,1,81
Georgia,13,GA,Berrien,13019,2020,2,26
Georgia,13,GA,Bibb,13021,2019,2,322
Georgia,13,GA,Bibb,13021,2020,1,659
Georgia,13,GA,Bibb,13021,2020,2,378
Georgia,13,GA,Bleckley,13023,2019,2,19
Georgia,13,GA,Bleckley,13023,2020,1,70
Georgia,13,GA,Bleckley,13023,2020,2,36
Georgia,13,GA,Brantley,13025,2019,2,20
Georgia,13,GA,Brantley,13025,2020,1,34
Georgia,13,GA,Brantley,13025,2020,2,16
Georgia,13,GA,Brooks,13027,2019,2,21
Georgia,13,GA,Brooks,13027,2020,1,82
Georgia,13,GA,Brooks,13027,2020,2,37
Georgia,13,GA,Bryan,13029,2019,2,50
Georgia,13,GA,Bryan,13029,2020,1,74
Georgia,13,GA,Bryan,13029,2020,2,75
Georgia,13,GA,Bulloch,13031,2019,2,95
Georgia,13,GA,Bulloch,13031,2020,1,518
Georgia,13,GA,Bulloch,13031,2020,2,223
Georgia,13,GA,Burke,13033,2019,2,62
Georgia,13,GA,Burke,13033,2020,1,316
Georgia,13,GA,Burke,13033,2020,2,114
Georgia,13,GA,Butts,13035,2019,2,40
