state_name,state_fips,state_abbrev,county_name,county_fips,year,week,initial_claims
Utah,49,UT,,,1999,52,1306
Utah,49,UT,,,2000,1,1248
Utah,49,UT,,,2000,2,2695
Utah,49,UT,,,2000,3,1804
Utah,49,UT,,,2000,4,1333
Utah,49,UT,,,2000,5,1465
Utah,49,UT,,,2000,6,1507
Utah,49,UT,,,2000,7,1196
Utah,49,UT,,,2000,8,1292
Utah,49,UT,,,2000,9,1173
Utah,49,UT,,,2000,10,1230
Utah,49,UT,,,2000,11,1038
Utah,49,UT,,,2000,12,964
Utah,49,UT,,,2000,13,981
Utah,49,UT,,,2000,14,909
Utah,49,UT,,,2000,15,1221
Utah,49,UT,,,2000,16,1084
Utah,49,UT,,,2000,17,1054
Utah,49,UT,,,2000,18,1143
Utah,49,UT,,,2000,19,1085
Utah,49,UT,,,2000,20,1037
Utah,49,UT,,,2000,21,1110
Utah,49,UT,,,2000,22,1069
Utah,49,UT,,,2000,23,980
Utah,49,UT,,,2000,24,1230
Utah,49,UT,,,2000,25,1028
Utah,49,UT,,,2000,26,902
Utah,49,UT,,,2000,27,1023
Utah,49,UT,,,2000,28,1199
Utah,49,UT,,,2000,29,1157
Utah,49,UT,,,2000,30,1084
Utah,49,UT,,,2000,31,889
Utah,49,UT,,,2000,32,1164
Utah,49,UT,,,2000,33,1053
Utah,49,UT,,,2000,34,1072
Utah,49,UT,,,2000,35,1006
Utah,49,UT,,,2000,36,1100
Utah,49,UT,,,2000,37,993
Utah,49,UT,,,2000,38,976
Utah,49,UT,,,2000,39,1065
Utah,49,UT,,,2000,40,1108
Utah,49,UT,,,2000,41,1309
Utah,49,UT,,,2000,42,1158
Utah,49,UT,,,2000,43,1150
Utah,49,UT,,,2000,44,1240
Utah,49,UT,,,2000,45,1765
Utah,49,UT,,,2000,46,2665
Utah,49,UT,,,2000,47,2644
Utah,49,UT,,,2000,48,1394
Utah,49,UT,,,2000,49,1870
Utah,49,UT,,,2000,50,1619
Utah,49,UT,,,2000,51,2190
Utah,49,UT,,,2000,52,1682
Utah,49,UT,,,2000,53,1525
Utah,49,UT,,,2001,1,2194
Utah,49,UT,,,2001,2,3254
Utah,49,UT,,,2001,3,1965
Utah,49,UT,,,2001,4,1837
Utah,49,UT,,,2001,5,1875
Utah,49,UT,,,2001,6,1811
Utah,49,UT,,,2001,7,1644
Utah,49,UT,,,2001,8,1441
Utah,49,UT,,,2001,9,1573
Utah,49,UT,,,2001,10,1546
Utah,49,UT,,,2001,11,1365
Utah,49,UT,,,2001,12,1588
Utah,49,UT,,,2001,13,1286
Utah,49,UT,,,2001,14,1912
Utah,49,UT,,,2001,15,1771
Utah,49,UT,,,2001,16,1787
Utah,49,UT,,,2001,17,1651
Utah,49,UT,,,2001,18,1620
Utah,49,UT,,,2001,19,1508
Utah,49,UT,,,2001,20,1459
Utah,49,UT,,,2001,21,1373
Utah,49,UT,,,2001,22,1431
Utah,49,UT,,,2001,23,1675
Utah,49,UT,,,2001,24,1469
Utah,49,UT,,,2001,25,1524
Utah,49,UT,,,2001,26,1562
Utah,49,UT,,,2001,27,1836
Utah,49,UT,,,2001,28,1635
Utah,49,UT,,,2001,29,1445
Utah,49,UT,,,2001,30,1470
Utah,49,UT,,,2001,31,1537
Utah,49,UT,,,2001,32,1447
Utah,49,UT,,,2001,33,1573
Utah,49,UT,,,2001,34,1783
Utah,49,UT,,,2001,35,1573
Utah,49,UT,,,2001,36,1380
Utah,49,UT,,,2001,37,1400
Utah,49,UT,,,2001,38,1671
Utah,49,UT,,,2001,39,1787
Utah,49,UT,,,2001,40,2102
Utah,49,UT,,,2001,41,2054
Utah,49,UT,,,2001,42,1975
Utah,49,UT,,,2001,43,2029
Utah,49,UT,,,2001,44,2426
Utah,49,UT,,,2001,45,2500
Utah,49,UT,,,2001,46,2368
Utah,49,UT,,,2001,47,2897
Utah,49,UT,,,2001,48,3822
Utah,49,UT,,,2001,49,3691
Utah,49,UT,,,2001,50,2761
Utah,49,UT,,,2001,51,2605
Utah,49,UT,,,2001,52,2049
Utah,49,UT,,,2002,1,2579
Utah,49,UT,,,2002,2,3111
Utah,49,UT,,,2002,3,2579
Utah,49,UT,,,2002,4,2060
Utah,49,UT,,,2002,5,2358
Utah,49,UT,,,2002,6,2192
Utah,49,UT,,,2002,7,2076
Utah,49,UT,,,2002,8,1663
Utah,49,UT,,,2002,9,2334
Utah,49,UT,,,2002,10,2228
Utah,49,UT,,,2002,11,2023
Utah,49,UT,,,2002,12,1946
Utah,49,UT,,,2002,13,1965
Utah,49,UT,,,2002,14,1937
Utah,49,UT,,,2002,15,2429
Utah,49,UT,,,2002,16,2310
Utah,49,UT,,,2002,17,1905
Utah,49,UT,,,2002,18,1877
Utah,49,UT,,,2002,19,1656
Utah,49,UT,,,2002,20,1847
Utah,49,UT,,,2002,21,1698
Utah,49,UT,,,2002,22,1510
Utah,49,UT,,,2002,23,2067
Utah,49,UT,,,2002,24,1708
Utah,49,UT,,,2002,25,1548
Utah,49,UT,,,2002,26,1613
Utah,49,UT,,,2002,27,1674
Utah,49,UT,,,2002,28,2029
Utah,49,UT,,,2002,29,1744
Utah,49,UT,,,2002,30,1470
Utah,49,UT,,,2002,31,1660
Utah,49,UT,,,2002,32,1530
Utah,49,UT,,,2002,33,1498
Utah,49,UT,,,2002,34,1643
Utah,49,UT,,,2002,35,1636
Utah,49,UT,,,2002,36,1751
Utah,49,UT,,,2002,37,1632
Utah,49,UT,,,2002,38,1708
Utah,49,UT,,,2002,39,1541
Utah,49,UT,,,2002,40,2047
Utah,49,UT,,,2002,41,2047
Utah,49,UT,,,2002,42,1629
Utah,49,UT,,,2002,43,1762
Utah,49,UT,,,2002,44,2033
Utah,49,UT,,,2002,45,2303
Utah,49,UT,,,2002,46,2189
Utah,49,UT,,,2002,47,2339
Utah,49,UT,,,2002,48,1828
Utah,49,UT,,,2002,49,2608
Utah,49,UT,,,2002,50,2284
Utah,49,UT,,,2002,51,2368
Utah,49,UT,,,2002,52,2438
Utah,49,UT,,,2003,1,2394
Utah,49,UT,,,2003,2,3511
Utah,49,UT,,,2003,3,2529
Utah,49,UT,,,2003,4,1904
Utah,49,UT,,,2003,5,2064
Utah,49,UT,,,2003,6,2370
Utah,49,UT,,,2003,7,2125
Utah,49,UT,,,2003,8,1762
Utah,49,UT,,,2003,9,2005
Utah,49,UT,,,2003,10,1968
Utah,49,UT,,,2003,11,1631
Utah,49,UT,,,2003,12,1720
Utah,49,UT,,,2003,13,1592
Utah,49,UT,,,2003,14,1937
Utah,49,UT,,,2003,15,2309
Utah,49,UT,,,2003,16,1954
Utah,49,UT,,,2003,17,1800
Utah,49,UT,,,2003,18,1718
Utah,49,UT,,,2003,19,1809
Utah,49,UT,,,2003,20,1651
Utah,49,UT,,,2003,21,1624
Utah,49,UT,,,2003,22,1339
Utah,49,UT,,,2003,23,1857
Utah,49,UT,,,2003,24,1698
Utah,49,UT,,,2003,25,1629
Utah,49,UT,,,2003,26,1610
Utah,49,UT,,,2003,27,1686
Utah,49,UT,,,2003,28,1999
Utah,49,UT,,,2003,29,1640
Utah,49,UT,,,2003,30,1407
Utah,49,UT,,,2003,31,1515
Utah,49,UT,,,2003,32,1476
Utah,49,UT,,,2003,33,1491
Utah,49,UT,,,2003,34,1589
Utah,49,UT,,,2003,35,1580
Utah,49,UT,,,2003,36,1403
Utah,49,UT,,,2003,37,1451
Utah,49,UT,,,2003,38,1413
Utah,49,UT,,,2003,39,1354
Utah,49,UT,,,2003,40,1686
Utah,49,UT,,,2003,41,1757
Utah,49,UT,,,2003,42,1419
Utah,49,UT,,,2003,43,1587
Utah,49,UT,,,2003,44,1766
Utah,49,UT,,,2003,45,2742
Utah,49,UT,,,2003,46,1914
Utah,49,UT,,,2003,47,2035
Utah,49,UT,,,2003,48,1661
Utah,49,UT,,,2003,49,2036
Utah,49,UT,,,2003,50,1896
Utah,49,UT,,,2003,51,2061
Utah,49,UT,,,2003,52,1559
Utah,49,UT,,,2004,1,2499
Utah,49,UT,,,2004,2,3328
Utah,49,UT,,,2004,3,2360
Utah,49,UT,,,2004,4,1824
Utah,49,UT,,,2004,5,1904
Utah,49,UT,,,2004,6,1819
Utah,49,UT,,,2004,7,1782
Utah,49,UT,,,2004,8,1476
Utah,49,UT,,,2004,9,1531
Utah,49,UT,,,2004,10,1725
Utah,49,UT,,,2004,11,1277
Utah,49,UT,,,2004,12,1279
Utah,49,UT,,,2004,13,1121
Utah,49,UT,,,2004,14,1208
Utah,49,UT,,,2004,15,1532
Utah,49,UT,,,2004,16,1653
Utah,49,UT,,,2004,17,1606
Utah,49,UT,,,2004,18,1278
