state_name,state_fips,state_abbrev,county_name,county_fips,year,week,initial_claims
Alabama,1,AL,Autauga,1001,2020,16,675
Alabama,1,AL,Baldwin,1003,2020,16,3221
Alabama,1,AL,Barbour,1005,2020,16,158
Alabama,1,AL,Bibb,1007,2020,16,292
Alabama,1,AL,Blount,1009,2020,16,366
Alabama,1,AL,Bullock,1011,2020,16,64
Alabama,1,AL,Butler,1013,2020,16,354
Alabama,1,AL,Calhoun,1015,2020,16,2436
Alabama,1,AL,Chambers,1017,2020,16,487
Alabama,1,AL,Cherokee,1019,2020,16,209
Alabama,1,AL,Chilton,1021,2020,16,412
Alabama,1,AL,Choctaw,1023,2020,16,74
Alabama,1,AL,Clarke,1025,2020,16,268
Alabama,1,AL,Clay,1027,2020,16,124
Alabama,1,AL,Cleburne,1029,2020,16,139
Alabama,1,AL,Coffee,1031,2020,16,446
Alabama,1,AL,Colbert,1033,2020,16,700
Alabama,1,AL,Conecuh,1035,2020,16,122
Alabama,1,AL,Coosa,1037,2020,16,149
Alabama,1,AL,Covington,1039,2020,16,448
Alabama,1,AL,Crenshaw,1041,2020,16,162
Alabama,1,AL,Cullman,1043,2020,16,890
Alabama,1,AL,Dale,1045,2020,16,471
Alabama,1,AL,Dallas,1047,2020,16,612
Alabama,1,AL,De Kalb,1049,2020,16,660
Alabama,1,AL,Elmore,1051,2020,16,1033
Alabama,1,AL,Escambia,1053,2020,16,303
Alabama,1,AL,Etowah,1055,2020,16,1661
Alabama,1,AL,Fayette,1057,2020,16,131
Alabama,1,AL,Franklin,1059,2020,16,275
Alabama,1,AL,Geneva,1061,2020,16,181
Alabama,1,AL,Greene,1063,2020,16,119
Alabama,1,AL,Hale,1065,2020,16,277
Alabama,1,AL,Henry,1067,2020,16,127
Alabama,1,AL,Houston,1069,2020,16,1100
Alabama,1,AL,Jackson,1071,2020,16,698
Alabama,1,AL,Jefferson,1073,2020,16,9611
Alabama,1,AL,Lamar,1075,2020,16,102
Alabama,1,AL,Lauderdale,1077,2020,16,1115
Alabama,1,AL,Lawrence,1079,2020,16,239
Alabama,1,AL,Lee,1081,2020,16,1771
Alabama,1,AL,Limestone,1083,2020,16,816
Alabama,1,AL,Lowndes,1085,2020,16,158
Alabama,1,AL,Macon,1087,2020,16,229
Alabama,1,AL,Madison,1089,2020,16,4528
Alabama,1,AL,Marengo,1091,2020,16,167
Alabama,1,AL,Marion,1093,2020,16,252
Alabama,1,AL,Marshall,1095,2020,16,1183
Alabama,1,AL,Mobile,1097,2020,16,6708
Alabama,1,AL,Monroe,1099,2020,16,251
Alabama,1,AL,Montgomery,1101,2020,16,3479
Alabama,1,AL,Morgan,1103,2020,16,1372
Alabama,1,AL,Perry,1105,2020,16,101
Alabama,1,AL,Pickens,1107,2020,16,162
Alabama,1,AL,Pike,1109,2020,16,261
Alabama,1,AL,Randolph,1111,2020,16,245
Alabama,1,AL,Russell,1113,2020,16,392
Alabama,1,AL,St Clair,1115,2020,16,1303
Alabama,1,AL,Shelby,1117,2020,16,1832
Alabama,1,AL,Sumter,1119,2020,16,110
Alabama,1,AL,Talladega,1121,2020,16,1866
Alabama,1,AL,Tallapoosa,1123,2020,16,628
Alabama,1,AL,Tuscaloosa,1125,2020,16,3033
Alabama,1,AL,Walker,1127,2020,16,724
Alabama,1,AL,Washington,1129,2020,16,158
Alabama,1,AL,Wilcox,1131,2020,16,133
Alabama,1,AL,Winston,1133,2020,16,217
Alabama,1,AL,Autauga,1001,2020,15,812
Alabama,1,AL,Baldwin,1003,2020,15,3750
Alabama,1,AL,Barbour,1005,2020,15,214
Alabama,1,AL,Bibb,1007,2020,15,338
Alabama,1,AL,Blount,1009,2020,15,488
Alabama,1,AL,Bullock,1011,2020,15,92
Alabama,1,AL,Butler,1013,2020,15,453
Alabama,1,AL,Calhoun,1015,2020,15,2745
Alabama,1,AL,Chambers,1017,2020,15,598
Alabama,1,AL,Cherokee,1019,2020,15,222
Alabama,1,AL,Chilton,1021,2020,15,500
Alabama,1,AL,Choctaw,1023,2020,15,91
Alabama,1,AL,Clarke,1025,2020,15,333
Alabama,1,AL,Clay,1027,2020,15,123
Alabama,1,AL,Cleburne,1029,2020,15,151
Alabama,1,AL,Coffee,1031,2020,15,635
Alabama,1,AL,Colbert,1033,2020,15,894
Alabama,1,AL,Conecuh,1035,2020,15,177
Alabama,1,AL,Coosa,1037,2020,15,147
Alabama,1,AL,Covington,1039,2020,15,448
Alabama,1,AL,Crenshaw,1041,2020,15,193
Alabama,1,AL,Cullman,1043,2020,15,1184
Alabama,1,AL,Dale,1045,2020,15,467
Alabama,1,AL,Dallas,1047,2020,15,760
Alabama,1,AL,De Kalb,1049,2020,15,803
Alabama,1,AL,Elmore,1051,2020,15,1113
Alabama,1,AL,Escambia,1053,2020,15,423
Alabama,1,AL,Etowah,1055,2020,15,1885
Alabama,1,AL,Fayette,1057,2020,15,174
Alabama,1,AL,Franklin,1059,2020,15,354
Alabama,1,AL,Geneva,1061,2020,15,246
Alabama,1,AL,Greene,1063,2020,15,117
Alabama,1,AL,Hale,1065,2020,15,361
Alabama,1,AL,Henry,1067,2020,15,160
Alabama,1,AL,Houston,1069,2020,15,1265
Alabama,1,AL,Jackson,1071,2020,15,630
Alabama,1,AL,Jefferson,1073,2020,15,10709
Alabama,1,AL,Lamar,1075,2020,15,114
Alabama,1,AL,Lauderdale,1077,2020,15,1525
Alabama,1,AL,Lawrence,1079,2020,15,339
Alabama,1,AL,Lee,1081,2020,15,1916
Alabama,1,AL,Limestone,1083,2020,15,1082
Alabama,1,AL,Lowndes,1085,2020,15,233
Alabama,1,AL,Macon,1087,2020,15,277
Alabama,1,AL,Madison,1089,2020,15,5501
Alabama,1,AL,Marengo,1091,2020,15,180
Alabama,1,AL,Marion,1093,2020,15,279
Alabama,1,AL,Marshall,1095,2020,15,1918
Alabama,1,AL,Mobile,1097,2020,15,7019
Alabama,1,AL,Monroe,1099,2020,15,244
Alabama,1,AL,Montgomery,1101,2020,15,4407
Alabama,1,AL,Morgan,1103,2020,15,1829
Alabama,1,AL,Perry,1105,2020,15,119
Alabama,1,AL,Pickens,1107,2020,15,221
Alabama,1,AL,Pike,1109,2020,15,343
Alabama,1,AL,Randolph,1111,2020,15,185
Alabama,1,AL,Russell,1113,2020,15,465
Alabama,1,AL,St Clair,1115,2020,15,1398
Alabama,1,AL,Shelby,1117,2020,15,2019
Alabama,1,AL,Sumter,1119,2020,15,111
Alabama,1,AL,Talladega,1121,2020,15,1923
Alabama,1,AL,Tallapoosa,1123,2020,15,625
Alabama,1,AL,Tuscaloosa,1125,2020,15,3617
Alabama,1,AL,Walker,1127,2020,15,918
Alabama,1,AL,Washington,1129,2020,15,192
Alabama,1,AL,Wilcox,1131,2020,15,149
Alabama,1,AL,Winston,1133,2020,15,349
Alabama,1,AL,Autauga,1001,2020,14,1088
Alabama,1,AL,Baldwin,1003,2020,14,5696
Alabama,1,AL,Barbour,1005,2020,14,212
Alabama,1,AL,Bibb,1007,2020,14,588
Alabama,1,AL,Blount,1009,2020,14,645
