state_name,state_fips,state_abbrev,county_name,county_fips,year,Date,initial_claims
District of Columbia,11,DC,Washington,11001,2020,3/13/20,415
District of Columbia,11,DC,Washington,11001,2020,3/14/20,213
District of Columbia,11,DC,Washington,11001,2020,3/15/20,410
District of Columbia,11,DC,Washington,11001,2020,3/16/20,1757
District of Columbia,11,DC,Washington,11001,2020,3/17/20,2760
District of Columbia,11,DC,Washington,11001,2020,3/18/20,2927
District of Columbia,11,DC,Washington,11001,2020,3/19/20,2802
District of Columbia,11,DC,Washington,11001,2020,3/20/20,2931
District of Columbia,11,DC,Washington,11001,2020,3/21/20,1466
District of Columbia,11,DC,Washington,11001,2020,3/22/20,1240
District of Columbia,11,DC,Washington,11001,2020,3/23/20,2812
District of Columbia,11,DC,Washington,11001,2020,3/24/20,2392
District of Columbia,11,DC,Washington,11001,2020,3/25/20,2860
District of Columbia,11,DC,Washington,11001,2020,3/26/20,2990
District of Columbia,11,DC,Washington,11001,2020,3/27/20,2799
District of Columbia,11,DC,Washington,11001,2020,3/28/20,1691
District of Columbia,11,DC,Washington,11001,2020,3/29/20,1547
District of Columbia,11,DC,Washington,11001,2020,3/30/20,3017
District of Columbia,11,DC,Washington,11001,2020,3/31/20,3064
District of Columbia,11,DC,Washington,11001,2020,4/1/20,2765
District of Columbia,11,DC,Washington,11001,2020,4/2/20,2649
District of Columbia,11,DC,Washington,11001,2020,4/3/20,2371
District of Columbia,11,DC,Washington,11001,2020,4/4/20,1081
District of Columbia,11,DC,Washington,11001,2020,4/5/20,1020
District of Columbia,11,DC,Washington,11001,2020,4/6/20,2253
District of Columbia,11,DC,Washington,11001,2020,4/7/20,1785
District of Columbia,11,DC,Washington,11001,2020,4/8/20,1628
District of Columbia,11,DC,Washington,11001,2020,4/9/20,1715
District of Columbia,11,DC,Washington,11001,2020,4/10/20,1580
District of Columbia,11,DC,Washington,11001,2020,4/11/20,777
District of Columbia,11,DC,Washington,11001,2020,4/12/20,698
District of Columbia,11,DC,Washington,11001,2020,4/13/20,1603
District of Columbia,11,DC,Washington,11001,2020,4/14/20,1521
District of Columbia,11,DC,Washington,11001,2020,4/15/20,1696
District of Columbia,11,DC,Washington,11001,2020,4/16/20,1560
District of Columbia,11,DC,Washington,11001,2020,4/17/20,1449
District of Columbia,11,DC,Washington,11001,2020,4/18/20,684
District of Columbia,11,DC,Washington,11001,2020,4/19/20,642
District of Columbia,11,DC,Washington,11001,2020,4/20/20,1440
District of Columbia,11,DC,Washington,11001,2020,4/21/20,1365
District of Columbia,11,DC,Washington,11001,2020,4/22/20,1498
District of Columbia,11,DC,Washington,11001,2020,4/23/20,1503
District of Columbia,11,DC,Washington,11001,2020,4/24/20,1750
District of Columbia,11,DC,Washington,11001,2020,4/25/20,983
District of Columbia,11,DC,Washington,11001,2020,4/26/20,774
District of Columbia,11,DC,Washington,11001,2020,4/27/20,1762
District of Columbia,11,DC,Washington,11001,2020,4/28/20,1443
District of Columbia,11,DC,Washington,11001,2020,4/29/20,1410
District of Columbia,11,DC,Washington,11001,2020,4/30/20,1375
District of Columbia,11,DC,Washington,11001,2020,5/1/20,1244
District of Columbia,11,DC,Washington,11001,2020,5/2/20,481
District of Columbia,11,DC,Washington,11001,2020,5/3/20,699
District of Columbia,11,DC,Washington,11001,2020,5/4/20,1285
District of Columbia,11,DC,Washington,11001,2020,5/5/20,1019
District of Columbia,11,DC,Washington,11001,2020,5/6/20,934
District of Columbia,11,DC,Washington,11001,2020,5/7/20,956
District of Columbia,11,DC,Washington,11001,2020,5/8/20,875
District of Columbia,11,DC,Washington,11001,2020,5/9/20,422
District of Columbia,11,DC,Washington,11001,2020,5/10/20,504
District of Columbia,11,DC,Washington,11001,2020,5/11/20,1064
District of Columbia,11,DC,Washington,11001,2020,5/12/20,960
District of Columbia,11,DC,Washington,11001,2020,5/13/20,878
District of Columbia,11,DC,Washington,11001,2020,5/14/20,840
District of Columbia,11,DC,Washington,11001,2020,5/15/20,843
District of Columbia,11,DC,Washington,11001,2020,5/16/20,370
District of Columbia,11,DC,Washington,11001,2020,5/17/20,674
District of Columbia,11,DC,Washington,11001,2020,5/18/20,855
