state_name,state_fips,state_abbrev,county_name,county_fips,year,month,total_claims
New Jersey,34,NJ,Atlantic,34001,2016,1,"5,035"
New Jersey,34,NJ,Atlantic,34001,2016,2,"4,907"
New Jersey,34,NJ,Atlantic,34001,2016,3,"4,279"
New Jersey,34,NJ,Atlantic,34001,2016,4,"3,333"
New Jersey,34,NJ,Atlantic,34001,2016,5,"2,970"
New Jersey,34,NJ,Atlantic,34001,2016,6,"2,714"
New Jersey,34,NJ,Atlantic,34001,2016,7,"3,089"
New Jersey,34,NJ,Atlantic,34001,2016,8,"3,109"
New Jersey,34,NJ,Atlantic,34001,2016,9,"2,544"
New Jersey,34,NJ,Atlantic,34001,2016,10,"3,520"
New Jersey,34,NJ,Atlantic,34001,2016,11,"4,497"
New Jersey,34,NJ,Atlantic,34001,2016,12,"5,001"
New Jersey,34,NJ,Atlantic,34001,2017,1,"6,146"
New Jersey,34,NJ,Atlantic,34001,2017,2,"5,814"
New Jersey,34,NJ,Atlantic,34001,2017,3,"5,312"
New Jersey,34,NJ,Atlantic,34001,2017,4,"4,067"
New Jersey,34,NJ,Atlantic,34001,2017,5,"3,188"
New Jersey,34,NJ,Atlantic,34001,2017,6,"2,840"
New Jersey,34,NJ,Atlantic,34001,2017,7,"3,367"
New Jersey,34,NJ,Atlantic,34001,2017,8,"3,347"
New Jersey,34,NJ,Atlantic,34001,2017,9,"2,564"
New Jersey,34,NJ,Atlantic,34001,2017,10,"2,735"
New Jersey,34,NJ,Atlantic,34001,2017,11,"3,200"
New Jersey,34,NJ,Atlantic,34001,2017,12,"3,726"
New Jersey,34,NJ,Atlantic,34001,2018,1,"4,892"
New Jersey,34,NJ,Atlantic,34001,2018,2,"4,438"
New Jersey,34,NJ,Atlantic,34001,2018,3,"4,038"
New Jersey,34,NJ,Atlantic,34001,2018,4,"3,115"
New Jersey,34,NJ,Atlantic,34001,2018,5,"2,618"
New Jersey,34,NJ,Atlantic,34001,2018,6,"2,315"
New Jersey,34,NJ,Atlantic,34001,2018,7,"2,802"
New Jersey,34,NJ,Atlantic,34001,2018,8,"2,783"
New Jersey,34,NJ,Atlantic,34001,2018,9,"2,212"
New Jersey,34,NJ,Atlantic,34001,2018,10,"2,425"
New Jersey,34,NJ,Atlantic,34001,2018,11,"2,893"
New Jersey,34,NJ,Atlantic,34001,2018,12,"3,526"
New Jersey,34,NJ,Atlantic,34001,2019,1,"4,914"
New Jersey,34,NJ,Atlantic,34001,2019,2,"4,761"
New Jersey,34,NJ,Atlantic,34001,2019,3,"4,308"
New Jersey,34,NJ,Atlantic,34001,2019,4,"3,323"
New Jersey,34,NJ,Atlantic,34001,2019,5,"2,787"
New Jersey,34,NJ,Atlantic,34001,2019,6,"2,613"
New Jersey,34,NJ,Atlantic,34001,2019,7,"3,221"
New Jersey,34,NJ,Atlantic,34001,2019,8,"3,212"
New Jersey,34,NJ,Atlantic,34001,2019,9,"2,597"
New Jersey,34,NJ,Atlantic,34001,2019,10,"2,726"
New Jersey,34,NJ,Atlantic,34001,2019,11,"3,058"
New Jersey,34,NJ,Atlantic,34001,2019,12,"3,551"
New Jersey,34,NJ,Atlantic,34001,2020,1,"4,623"
New Jersey,34,NJ,Bergen,34003,2016,1,"7,299"
New Jersey,34,NJ,Bergen,34003,2016,2,"7,485"
New Jersey,34,NJ,Bergen,34003,2016,3,"7,200"
New Jersey,34,NJ,Bergen,34003,2016,4,"6,736"
New Jersey,34,NJ,Bergen,34003,2016,5,"6,025"
New Jersey,34,NJ,Bergen,34003,2016,6,"5,729"
New Jersey,34,NJ,Bergen,34003,2016,7,"7,372"
New Jersey,34,NJ,Bergen,34003,2016,8,"7,646"
New Jersey,34,NJ,Bergen,34003,2016,9,"5,404"
New Jersey,34,NJ,Bergen,34003,2016,10,"5,249"
New Jersey,34,NJ,Bergen,34003,2016,11,"5,264"
New Jersey,34,NJ,Bergen,34003,2016,12,"5,637"
New Jersey,34,NJ,Bergen,34003,2017,1,"6,920"
New Jersey,34,NJ,Bergen,34003,2017,2,"6,856"
New Jersey,34,NJ,Bergen,34003,2017,3,"6,896"
New Jersey,34,NJ,Bergen,34003,2017,4,"6,673"
New Jersey,34,NJ,Bergen,34003,2017,5,"5,581"
New Jersey,34,NJ,Bergen,34003,2017,6,"5,300"
New Jersey,34,NJ,Bergen,34003,2017,7,"7,241"
New Jersey,34,NJ,Bergen,34003,2017,8,"7,228"
New Jersey,34,NJ,Bergen,34003,2017,9,"5,073"
New Jersey,34,NJ,Bergen,34003,2017,10,"4,866"
New Jersey,34,NJ,Bergen,34003,2017,11,"4,903"
New Jersey,34,NJ,Bergen,34003,2017,12,"5,216"
New Jersey,34,NJ,Bergen,34003,2018,1,"6,462"
New Jersey,34,NJ,Bergen,34003,2018,2,"6,434"
New Jersey,34,NJ,Bergen,34003,2018,3,"6,345"
New Jersey,34,NJ,Bergen,34003,2018,4,"5,661"
New Jersey,34,NJ,Bergen,34003,2018,5,"5,033"
New Jersey,34,NJ,Bergen,34003,2018,6,"5,048"
New Jersey,34,NJ,Bergen,34003,2018,7,"6,907"
New Jersey,34,NJ,Bergen,34003,2018,8,"7,000"
New Jersey,34,NJ,Bergen,34003,2018,9,"4,834"
New Jersey,34,NJ,Bergen,34003,2018,10,"4,672"
New Jersey,34,NJ,Bergen,34003,2018,11,"4,668"
New Jersey,34,NJ,Bergen,34003,2018,12,"4,828"
New Jersey,34,NJ,Bergen,34003,2019,1,"5,929"
New Jersey,34,NJ,Bergen,34003,2019,2,"6,317"
New Jersey,34,NJ,Bergen,34003,2019,3,"6,182"
New Jersey,34,NJ,Bergen,34003,2019,4,"5,145"
New Jersey,34,NJ,Bergen,34003,2019,5,"4,655"
New Jersey,34,NJ,Bergen,34003,2019,6,"4,879"
New Jersey,34,NJ,Bergen,34003,2019,7,"6,703"
New Jersey,34,NJ,Bergen,34003,2019,8,"6,673"
New Jersey,34,NJ,Bergen,34003,2019,9,"4,596"
New Jersey,34,NJ,Bergen,34003,2019,10,"4,504"
New Jersey,34,NJ,Bergen,34003,2019,11,"4,567"
New Jersey,34,NJ,Bergen,34003,2019,12,"4,969"
New Jersey,34,NJ,Bergen,34003,2020,1,"6,343"
New Jersey,34,NJ,Burlington,34005,2016,1,"4,423"
New Jersey,34,NJ,Burlington,34005,2016,2,"4,522"
New Jersey,34,NJ,Burlington,34005,2016,3,"4,085"
New Jersey,34,NJ,Burlington,34005,2016,4,"3,421"
New Jersey,34,NJ,Burlington,34005,2016,5,"3,332"
New Jersey,34,NJ,Burlington,34005,2016,6,"3,229"
New Jersey,34,NJ,Burlington,34005,2016,7,"4,323"
New Jersey,34,NJ,Burlington,34005,2016,8,"4,476"
New Jersey,34,NJ,Burlington,34005,2016,9,"3,206"
New Jersey,34,NJ,Burlington,34005,2016,10,"3,089"
New Jersey,34,NJ,Burlington,34005,2016,11,"3,207"
New Jersey,34,NJ,Burlington,34005,2016,12,"3,448"
New Jersey,34,NJ,Burlington,34005,2017,1,"4,174"
New Jersey,34,NJ,Burlington,34005,2017,2,"4,190"
New Jersey,34,NJ,Burlington,34005,2017,3,"4,147"
New Jersey,34,NJ,Burlington,34005,2017,4,"3,570"
New Jersey,34,NJ,Burlington,34005,2017,5,"3,409"
New Jersey,34,NJ,Burlington,34005,2017,6,"3,317"
New Jersey,34,NJ,Burlington,34005,2017,7,"4,363"
New Jersey,34,NJ,Burlington,34005,2017,8,"4,443"
New Jersey,34,NJ,Burlington,34005,2017,9,"3,182"
New Jersey,34,NJ,Burlington,34005,2017,10,"3,171"
New Jersey,34,NJ,Burlington,34005,2017,11,"3,359"
New Jersey,34,NJ,Burlington,34005,2017,12,"3,550"
New Jersey,34,NJ,Burlington,34005,2018,1,"4,417"
New Jersey,34,NJ,Burlington,34005,2018,2,"4,119"
New Jersey,34,NJ,Burlington,34005,2018,3,"4,015"
New Jersey,34,NJ,Burlington,34005,2018,4,"3,479"
New Jersey,34,NJ,Burlington,34005,2018,5,"3,195"
New Jersey,34,NJ,Burlington,34005,2018,6,"3,175"
New Jersey,34,NJ,Burlington,34005,2018,7,"4,306"
New Jersey,34,NJ,Burlington,34005,2018,8,"4,447"
New Jersey,34,NJ,Burlington,34005,2018,9,"3,138"
New Jersey,34,NJ,Burlington,34005,2018,10,"3,005"
New Jersey,34,NJ,Burlington,34005,2018,11,"3,229"
New Jersey,34,NJ,Burlington,34005,2018,12,"3,337"
New Jersey,34,NJ,Burlington,34005,2019,1,"4,121"
New Jersey,34,NJ,Burlington,34005,2019,2,"4,339"
New Jersey,34,NJ,Burlington,34005,2019,3,"4,024"
New Jersey,34,NJ,Burlington,34005,2019,4,"3,329"
New Jersey,34,NJ,Burlington,34005,2019,5,"3,041"
New Jersey,34,NJ,Burlington,34005,2019,6,"3,030"
New Jersey,34,NJ,Burlington,34005,2019,7,"4,110"
New Jersey,34,NJ,Burlington,34005,2019,8,"4,202"
New Jersey,34,NJ,Burlington,34005,2019,9,"2,909"
New Jersey,34,NJ,Burlington,34005,2019,10,"2,909"
New Jersey,34,NJ,Burlington,34005,2019,11,"3,142"
New Jersey,34,NJ,Burlington,34005,2019,12,"3,304"
New Jersey,34,NJ,Burlington,34005,2020,1,"3,926"
New Jersey,34,NJ,Camden,34007,2016,1,"6,065"
New Jersey,34,NJ,Camden,34007,2016,2,"6,282"
New Jersey,34,NJ,Camden,34007,2016,3,"5,765"
