state_name,state_fips,state_abbrev,county_name,county_fips,year,month,initial_claims
New Mexico,35,NM,,,2020,3,"62,526"
New Mexico,35,NM,,,2020,2,"3,152"
New Mexico,35,NM,,,2020,1,"4,186"
New Mexico,35,NM,,,2019,12,"4,616"
New Mexico,35,NM,,,2019,11,"3,934"
New Mexico,35,NM,,,2019,10,"4,042"
New Mexico,35,NM,,,2019,9,"3,080"
New Mexico,35,NM,,,2019,8,"3,027"
New Mexico,35,NM,,,2019,7,"3,227"
New Mexico,35,NM,,,2019,6,"3,315"
New Mexico,35,NM,,,2019,5,"4,028"
New Mexico,35,NM,,,2019,4,"3,385"
New Mexico,35,NM,,,2019,3,"3,273"
New Mexico,35,NM,,,2019,2,"2,976"
New Mexico,35,NM,,,2019,1,"4,916"
New Mexico,35,NM,,,2018,12,"4,389"
New Mexico,35,NM,,,2018,11,"3,989"
New Mexico,35,NM,,,2018,10,"3,764"
New Mexico,35,NM,,,2018,9,"2,744"
New Mexico,35,NM,,,2018,8,"3,085"
New Mexico,35,NM,,,2018,7,"3,349"
New Mexico,35,NM,,,2018,6,"3,488"
New Mexico,35,NM,,,2018,5,"4,041"
New Mexico,35,NM,,,2018,5,"3,392"
New Mexico,35,NM,,,2018,4,"3,351"
New Mexico,35,NM,,,2018,2,"2,975"
New Mexico,35,NM,,,2018,1,"4,775"
New Mexico,35,NM,,,2017,12,"4,383"
New Mexico,35,NM,,,2017,11,"4,383"
New Mexico,35,NM,,,2017,10,"4,337"
New Mexico,35,NM,,,2017,9,"3,376"
New Mexico,35,NM,,,2017,8,"3,910"
New Mexico,35,NM,,,2017,7,"3,897"
New Mexico,35,NM,,,2017,6,"4,226"
New Mexico,35,NM,,,2017,5,"4,845"
New Mexico,35,NM,,,2017,4,"3,676"
New Mexico,35,NM,,,2017,3,"4,426"
New Mexico,35,NM,,,2017,2,"3,774"
New Mexico,35,NM,,,2017,1,"5,395"
New Mexico,35,NM,,,2016,12,"5,341"
New Mexico,35,NM,,,2016,11,"5,183"
New Mexico,35,NM,,,2016,10,"4,711"
New Mexico,35,NM,,,2016,9,"3,803"
New Mexico,35,NM,,,2016,8,"4,421"
New Mexico,35,NM,,,2016,7,"4,490"
New Mexico,35,NM,,,2016,6,"5,122"
New Mexico,35,NM,,,2016,5,"5,640"
New Mexico,35,NM,,,2016,4,"5,039"
New Mexico,35,NM,,,2016,3,"5,281"
New Mexico,35,NM,,,2016,2,"5,390"
New Mexico,35,NM,,,2016,1,"6,036"
New Mexico,35,NM,,,2015,12,"5,829"
New Mexico,35,NM,,,2015,11,"5,639"
New Mexico,35,NM,,,2015,10,"5,407"
New Mexico,35,NM,,,2015,9,"4,610"
New Mexico,35,NM,,,2015,8,"4,712"
New Mexico,35,NM,,,2015,7,"4,936"
New Mexico,35,NM,,,2015,6,"5,150"
New Mexico,35,NM,,,2015,5,"5,531"
New Mexico,35,NM,,,2015,4,"5,142"
New Mexico,35,NM,,,2015,3,"5,211"
New Mexico,35,NM,,,2015,2,"4,703"
New Mexico,35,NM,,,2015,1,"6,010"
New Mexico,35,NM,,,2014,12,"5,975"
New Mexico,35,NM,,,2014,11,"5,013"
New Mexico,35,NM,,,2014,10,"5,208"
New Mexico,35,NM,,,2014,9,"4,183"
New Mexico,35,NM,,,2014,8,"4,272"
New Mexico,35,NM,,,2014,7,"4,902"
New Mexico,35,NM,,,2014,6,5.228
New Mexico,35,NM,,,2014,5,"6,113"
New Mexico,35,NM,,,2014,4,"5,780"
New Mexico,35,NM,,,2014,3,4.875
