state_name,state_fips,state_abbrev,county_name,county_fips,year,week,initial_claims
Nevada,32,NV,Carson City,32510,2020,1,42
Nevada,32,NV,Churchill,32001,2020,1,22
Nevada,32,NV,Clark,32003,2020,1,1827
Nevada,32,NV,Douglas,32005,2020,1,30
Nevada,32,NV,Elko,32007,2020,1,40
Nevada,32,NV,Esmeralda,32009,2020,1,0
Nevada,32,NV,Eureka,32011,2020,1,0
Nevada,32,NV,Humboldt,32013,2020,1,9
Nevada,32,NV,Lander,32015,2020,1,3
Nevada,32,NV,Lincoln,32017,2020,1,0
Nevada,32,NV,Lyon,32019,2020,1,62
Nevada,32,NV,Mineral,32021,2020,1,7
Nevada,32,NV,Nye,32023,2020,1,33
Nevada,32,NV,Pershing,32027,2020,1,6
Nevada,32,NV,Storey,32029,2020,1,1
Nevada,32,NV,Washoe,32031,2020,1,436
Nevada,32,NV,White Pine,32033,2020,1,10
Nevada,32,NV,Carson City,32510,2020,2,65
Nevada,32,NV,Churchill,32001,2020,2,35
Nevada,32,NV,Clark,32003,2020,2,2187
Nevada,32,NV,Douglas,32005,2020,2,48
Nevada,32,NV,Elko,32007,2020,2,56
Nevada,32,NV,Esmeralda,32009,2020,2,1
Nevada,32,NV,Eureka,32011,2020,2,0
Nevada,32,NV,Humboldt,32013,2020,2,20
Nevada,32,NV,Lander,32015,2020,2,13
Nevada,32,NV,Lincoln,32017,2020,2,3
Nevada,32,NV,Lyon,32019,2020,2,83
Nevada,32,NV,Mineral,32021,2020,2,7
Nevada,32,NV,Nye,32023,2020,2,29
Nevada,32,NV,Pershing,32027,2020,2,4
Nevada,32,NV,Storey,32029,2020,2,0
Nevada,32,NV,Washoe,32031,2020,2,435
Nevada,32,NV,White Pine,32033,2020,2,6
Nevada,32,NV,Carson City,32510,2020,3,57
Nevada,32,NV,Churchill,32001,2020,3,23
Nevada,32,NV,Clark,32003,2020,3,2051
Nevada,32,NV,Douglas,32005,2020,3,30
Nevada,32,NV,Elko,32007,2020,3,40
Nevada,32,NV,Esmeralda,32009,2020,3,0
Nevada,32,NV,Eureka,32011,2020,3,0
Nevada,32,NV,Humboldt,32013,2020,3,14
Nevada,32,NV,Lander,32015,2020,3,2
Nevada,32,NV,Lincoln,32017,2020,3,0
Nevada,32,NV,Lyon,32019,2020,3,56
Nevada,32,NV,Mineral,32021,2020,3,4
Nevada,32,NV,Nye,32023,2020,3,23
Nevada,32,NV,Pershing,32027,2020,3,3
Nevada,32,NV,Storey,32029,2020,3,0
Nevada,32,NV,Washoe,32031,2020,3,401
Nevada,32,NV,White Pine,32033,2020,3,11
Nevada,32,NV,Carson City,32510,2020,4,65
Nevada,32,NV,Churchill,32001,2020,4,21
Nevada,32,NV,Clark,32003,2020,4,1773
Nevada,32,NV,Douglas,32005,2020,4,24
Nevada,32,NV,Elko,32007,2020,4,28
Nevada,32,NV,Esmeralda,32009,2020,4,0
Nevada,32,NV,Eureka,32011,2020,4,2
Nevada,32,NV,Humboldt,32013,2020,4,11
Nevada,32,NV,Lander,32015,2020,4,4
Nevada,32,NV,Lincoln,32017,2020,4,2
Nevada,32,NV,Lyon,32019,2020,4,58
Nevada,32,NV,Mineral,32021,2020,4,3
Nevada,32,NV,Nye,32023,2020,4,17
Nevada,32,NV,Pershing,32027,2020,4,4
Nevada,32,NV,Storey,32029,2020,4,1
Nevada,32,NV,Washoe,32031,2020,4,300
Nevada,32,NV,White Pine,32033,2020,4,2
Nevada,32,NV,Carson City,32510,2020,5,55
Nevada,32,NV,Churchill,32001,2020,5,20
