state_name,state_fips,state_abbrev,county_name,county_fips,year,month,initial_claims
New York,36,NY,Albany,36001,2019,10,1200
New York,36,NY,Albany,36001,2019,11,1300
New York,36,NY,Albany,36001,2019,12,2000
New York,36,NY,Albany,36001,2020,1,2300
New York,36,NY,Albany,36001,2020,2,2100
New York,36,NY,Allegany,36003,2019,10,200
New York,36,NY,Allegany,36003,2019,11,400
New York,36,NY,Allegany,36003,2019,12,600
New York,36,NY,Allegany,36003,2020,1,600
New York,36,NY,Allegany,36003,2020,2,500
New York,36,NY,Bronx,36005,2019,10,11600
New York,36,NY,Bronx,36005,2019,11,11700
New York,36,NY,Bronx,36005,2019,12,14700
New York,36,NY,Bronx,36005,2020,1,15100
New York,36,NY,Bronx,36005,2020,2,15200
New York,36,NY,Broome,36007,2019,10,900
New York,36,NY,Broome,36007,2019,11,1300
New York,36,NY,Broome,36007,2019,12,2000
New York,36,NY,Broome,36007,2020,1,2200
New York,36,NY,Broome,36007,2020,2,2000
New York,36,NY,Cattaraugus,36009,2019,10,500
New York,36,NY,Cattaraugus,36009,2019,11,800
New York,36,NY,Cattaraugus,36009,2019,12,1200
New York,36,NY,Cattaraugus,36009,2020,1,1300
New York,36,NY,Cattaraugus,36009,2020,2,1200
New York,36,NY,Cayuga,36011,2019,10,400
New York,36,NY,Cayuga,36011,2019,11,500
New York,36,NY,Cayuga,36011,2019,12,900
New York,36,NY,Cayuga,36011,2020,1,1000
New York,36,NY,Cayuga,36011,2020,2,900
New York,36,NY,Chautauqua,36013,2019,10,700
New York,36,NY,Chautauqua,36013,2019,11,1100
New York,36,NY,Chautauqua,36013,2019,12,1500
New York,36,NY,Chautauqua,36013,2020,1,1600
New York,36,NY,Chautauqua,36013,2020,2,1600
New York,36,NY,Chemung,36015,2019,10,300
New York,36,NY,Chemung,36015,2019,11,400
New York,36,NY,Chemung,36015,2019,12,700
New York,36,NY,Chemung,36015,2020,1,700
New York,36,NY,Chemung,36015,2020,2,800
New York,36,NY,Chenango,36017,2019,10,200
New York,36,NY,Chenango,36017,2019,11,400
New York,36,NY,Chenango,36017,2019,12,600
New York,36,NY,Chenango,36017,2020,1,700
New York,36,NY,Chenango,36017,2020,2,700
New York,36,NY,Clinton,36019,2019,10,700
New York,36,NY,Clinton,36019,2019,11,900
New York,36,NY,Clinton,36019,2019,12,1300
New York,36,NY,Clinton,36019,2020,1,1400
New York,36,NY,Clinton,36019,2020,2,1300
New York,36,NY,Columbia,36021,2019,10,200
New York,36,NY,Columbia,36021,2019,11,200
New York,36,NY,Columbia,36021,2019,12,400
New York,36,NY,Columbia,36021,2020,1,500
New York,36,NY,Columbia,36021,2020,2,500
New York,36,NY,Cortland,36023,2019,10,200
New York,36,NY,Cortland,36023,2019,11,400
New York,36,NY,Cortland,36023,2019,12,700
New York,36,NY,Cortland,36023,2020,1,800
New York,36,NY,Cortland,36023,2020,2,700
New York,36,NY,Delaware,36025,2019,10,200
New York,36,NY,Delaware,36025,2019,11,300
New York,36,NY,Delaware,36025,2019,12,400
New York,36,NY,Delaware,36025,2020,1,500
New York,36,NY,Delaware,36025,2020,2,500
New York,36,NY,Dutchess,36027,2019,10,1100
New York,36,NY,Dutchess,36027,2019,11,1200
New York,36,NY,Dutchess,36027,2019,12,1900
New York,36,NY,Dutchess,36027,2020,1,2100
New York,36,NY,Dutchess,36027,2020,2,2000
New York,36,NY,Erie,36029,2019,10,5400
New York,36,NY,Erie,36029,2019,11,6900
New York,36,NY,Erie,36029,2019,12,9800
New York,36,NY,Erie,36029,2020,1,10900
New York,36,NY,Erie,36029,2020,2,10500
New York,36,NY,Essex,36031,2019,10,200
New York,36,NY,Essex,36031,2019,11,300
New York,36,NY,Essex,36031,2019,12,400
New York,36,NY,Essex,36031,2020,1,500
New York,36,NY,Essex,36031,2020,2,500
New York,36,NY,Franklin,36033,2019,10,200
