state_name,state_fips,state_abbrev,county_name,county_fips,year,month,initial_claims
Oregon,41,OR,Baker,41001,2019,10,49
Oregon,41,OR,Benton,41003,2019,10,124
Oregon,41,OR,Clackamas,41005,2019,10,908
Oregon,41,OR,Clatsop,41007,2019,10,122
Oregon,41,OR,Columbia,41009,2019,10,154
Oregon,41,OR,Coos,41011,2019,10,199
Oregon,41,OR,Crook,41013,2019,10,88
Oregon,41,OR,Curry,41015,2019,10,72
Oregon,41,OR,Deschutes,41017,2019,10,572
Oregon,41,OR,Douglas,41019,2019,10,286
Oregon,41,OR,Gilliam,41021,2019,10,7
Oregon,41,OR,Grant,41023,2019,10,26
Oregon,41,OR,Harney,41025,2019,10,17
Oregon,41,OR,Hood River,41027,2019,10,45
Oregon,41,OR,Jackson,41029,2019,10,443
Oregon,41,OR,Jefferson,41031,2019,10,54
Oregon,41,OR,Josephine,41033,2019,10,242
Oregon,41,OR,Klamath,41035,2019,10,196
Oregon,41,OR,Lake,41037,2019,10,20
Oregon,41,OR,Lane,41039,2019,10,933
Oregon,41,OR,Lincoln,41041,2019,10,158
Oregon,41,OR,Linn,41043,2019,10,287
Oregon,41,OR,Malheur,41045,2019,10,59
Oregon,41,OR,Marion,41047,2019,10,839
Oregon,41,OR,Morrow,41049,2019,10,25
Oregon,41,OR,Multnomah,41051,2019,10,2018
Oregon,41,OR,Polk,41053,2019,10,180
Oregon,41,OR,Sherman,41055,2019,10,7
Oregon,41,OR,Tillamook,41057,2019,10,66
Oregon,41,OR,Umatilla,41059,2019,10,166
Oregon,41,OR,Union,41061,2019,10,57
Oregon,41,OR,Wallowa,41063,2019,10,21
Oregon,41,OR,Wasco,41065,2019,10,75
Oregon,41,OR,Washington,41067,2019,10,1182
Oregon,41,OR,Wheeler,41069,2019,10,2
Oregon,41,OR,Yamhill,41071,2019,10,246
Oregon,41,OR,Baker,41001,2019,7,28
Oregon,41,OR,Benton,41003,2019,7,114
Oregon,41,OR,Clackamas,41005,2019,7,925
Oregon,41,OR,Clatsop,41007,2019,7,110
Oregon,41,OR,Columbia,41009,2019,7,141
Oregon,41,OR,Coos,41011,2019,7,222
Oregon,41,OR,Crook,41013,2019,7,66
Oregon,41,OR,Curry,41015,2019,7,40
Oregon,41,OR,Deschutes,41017,2019,7,475
Oregon,41,OR,Douglas,41019,2019,7,378
Oregon,41,OR,Gilliam,41021,2019,7,6
Oregon,41,OR,Grant,41023,2019,7,13
Oregon,41,OR,Harney,41025,2019,7,14
