state_name,state_fips,state_abbrev,county_name,county_fips,year,month,initial_claims,continued_claims
Pennsylvania,42,PA,Adams,42001,2019,1,720,3160
Pennsylvania,42,PA,Adams,42001,2020,1,660,3210
Pennsylvania,42,PA,Adams,42001,2020,12,1020,3150
Pennsylvania,42,PA,Allegheny,42003,2019,1,9400,50770
Pennsylvania,42,PA,Allegheny,42003,2020,1,8430,51220
Pennsylvania,42,PA,Allegheny,42003,2020,12,9370,50630
Pennsylvania,42,PA,Armstrong,42005,2019,1,1030,4830
Pennsylvania,42,PA,Armstrong,42005,2020,1,970,5860
Pennsylvania,42,PA,Armstrong,42005,2020,12,1280,5440
Pennsylvania,42,PA,Beaver,42007,2019,1,1500,7740
Pennsylvania,42,PA,Beaver,42007,2020,1,1730,9330
Pennsylvania,42,PA,Beaver,42007,2020,12,2050,8960
Pennsylvania,42,PA,Bedford,42009,2019,1,600,3140
Pennsylvania,42,PA,Bedford,42009,2020,1,680,3300
Pennsylvania,42,PA,Bedford,42009,2020,12,760,3210
Pennsylvania,42,PA,Berks,42011,2019,1,3180,18020
Pennsylvania,42,PA,Berks,42011,2020,1,3140,18600
Pennsylvania,42,PA,Berks,42011,2020,12,3710,17850
Pennsylvania,42,PA,Blair,42013,2019,1,1150,5910
Pennsylvania,42,PA,Blair,42013,2020,1,1090,6170
Pennsylvania,42,PA,Blair,42013,2020,12,1290,6300
Pennsylvania,42,PA,Bradford,42015,2019,1,360,2250
Pennsylvania,42,PA,Bradford,42015,2020,1,440,2770
Pennsylvania,42,PA,Bradford,42015,2020,12,590,2700
Pennsylvania,42,PA,Bucks,42017,2019,1,3630,20050
Pennsylvania,42,PA,Bucks,42017,2020,1,3390,20580
Pennsylvania,42,PA,Bucks,42017,2020,12,3370,19280
Pennsylvania,42,PA,Butler,42019,2019,1,1730,9140
Pennsylvania,42,PA,Butler,42019,2020,1,1580,10200
Pennsylvania,42,PA,Butler,42019,2020,12,2210,9430
Pennsylvania,42,PA,Cambria,42021,2019,1,1370,7070
Pennsylvania,42,PA,Cambria,42021,2020,1,1320,7840
Pennsylvania,42,PA,Cambria,42021,2020,12,1700,7640
Pennsylvania,42,PA,Cameron,42023,2019,1,80,370
Pennsylvania,42,PA,Cameron,42023,2020,1,70,560
Pennsylvania,42,PA,Cameron,42023,2020,12,140,510
Pennsylvania,42,PA,Carbon,42025,2019,1,750,3610
Pennsylvania,42,PA,Carbon,42025,2020,1,630,3800
Pennsylvania,42,PA,Carbon,42025,2020,12,940,3900
Pennsylvania,42,PA,Centre,42027,2019,1,800,4090
Pennsylvania,42,PA,Centre,42027,2020,1,690,4130
Pennsylvania,42,PA,Centre,42027,2020,12,890,4090
Pennsylvania,42,PA,Chester,42029,2019,1,2500,13480
Pennsylvania,42,PA,Chester,42029,2020,1,2010,13160
Pennsylvania,42,PA,Chester,42029,2020,12,2670,11790
Pennsylvania,42,PA,Clarion,42031,2019,1,450,2280
Pennsylvania,42,PA,Clarion,42031,2020,1,450,2810
Pennsylvania,42,PA,Clarion,42031,2020,12,670,2360
Pennsylvania,42,PA,Clearfield,42033,2019,1,1140,5500
Pennsylvania,42,PA,Clearfield,42033,2020,1,1130,6340
Pennsylvania,42,PA,Clearfield,42033,2020,12,1340,5890
Pennsylvania,42,PA,Clinton,42035,2019,1,490,2790
Pennsylvania,42,PA,Clinton,42035,2020,1,350,2780
Pennsylvania,42,PA,Clinton,42035,2020,12,570,2910
Pennsylvania,42,PA,Columbia,42037,2019,1,790,4180
Pennsylvania,42,PA,Columbia,42037,2020,1,760,4660
Pennsylvania,42,PA,Columbia,42037,2020,12,990,4400
Pennsylvania,42,PA,Crawford,42039,2019,1,710,4020
Pennsylvania,42,PA,Crawford,42039,2020,1,740,4370
Pennsylvania,42,PA,Crawford,42039,2020,12,790,4320
Pennsylvania,42,PA,Cumberland,42041,2019,1,1140,6750
Pennsylvania,42,PA,Cumberland,42041,2020,1,1180,7130
Pennsylvania,42,PA,Cumberland,42041,2020,12,1430,6990
Pennsylvania,42,PA,Dauphin,42043,2019,1,1740,10020
Pennsylvania,42,PA,Dauphin,42043,2020,1,1550,10340
Pennsylvania,42,PA,Dauphin,42043,2020,12,2070,10610
Pennsylvania,42,PA,Delaware,42045,2019,1,2730,17840
Pennsylvania,42,PA,Delaware,42045,2020,1,2610,17860
Pennsylvania,42,PA,Delaware,42045,2020,12,2640,18550
Pennsylvania,42,PA,Elk,42047,2019,1,410,1590
Pennsylvania,42,PA,Elk,42047,2020,1,520,3280
Pennsylvania,42,PA,Elk,42047,2020,12,860,3290
Pennsylvania,42,PA,Erie,42049,2019,1,2360,13450
Pennsylvania,42,PA,Erie,42049,2020,1,2400,14910
Pennsylvania,42,PA,Erie,42049,2020,12,2930,14240
Pennsylvania,42,PA,Fayette,42051,2019,1,1630,9070
Pennsylvania,42,PA,Fayette,42051,2020,1,1610,10210
Pennsylvania,42,PA,Fayette,42051,2020,12,1990,9980
Pennsylvania,42,PA,Forest,42053,2019,1,70,360
Pennsylvania,42,PA,Forest,42053,2020,1,50,350
Pennsylvania,42,PA,Forest,42053,2020,12,70,340
Pennsylvania,42,PA,Franklin,42055,2019,1,920,5030
Pennsylvania,42,PA,Franklin,42055,2020,1,1160,5210
Pennsylvania,42,PA,Franklin,42055,2020,12,1270,5430
Pennsylvania,42,PA,Fulton,42057,2019,1,160,690
Pennsylvania,42,PA,Fulton,42057,2020,1,270,950
Pennsylvania,42,PA,Fulton,42057,2020,12,290,920
Pennsylvania,42,PA,Greene,42059,2019,1,300,1540
Pennsylvania,42,PA,Greene,42059,2020,1,320,1970
Pennsylvania,42,PA,Greene,42059,2020,12,350,1910
Pennsylvania,42,PA,Huntingdon,42061,2019,1,730,3920
Pennsylvania,42,PA,Huntingdon,42061,2020,1,750,4290
Pennsylvania,42,PA,Huntingdon,42061,2020,12,1040,4070
Pennsylvania,42,PA,Indiana,42063,2019,1,910,4660
Pennsylvania,42,PA,Indiana,42063,2020,1,900,5550
Pennsylvania,42,PA,Indiana,42063,2020,12,1210,5600
Pennsylvania,42,PA,Jefferson,42065,2019,1,560,2690
Pennsylvania,42,PA,Jefferson,42065,2020,1,570,3030
Pennsylvania,42,PA,Jefferson,42065,2020,12,690,3110
Pennsylvania,42,PA,Juniata,42067,2019,1,440,1680
Pennsylvania,42,PA,Juniata,42067,2020,1,290,1500
Pennsylvania,42,PA,Juniata,42067,2020,12,390,1460
Pennsylvania,42,PA,Lackawanna,42069,2019,1,1920,11130
Pennsylvania,42,PA,Lackawanna,42069,2020,1,1770,11210
Pennsylvania,42,PA,Lackawanna,42069,2020,12,2420,10470
Pennsylvania,42,PA,Lancaster,42071,2019,1,3920,17350
Pennsylvania,42,PA,Lancaster,42071,2020,1,3270,17780
Pennsylvania,42,PA,Lancaster,42071,2020,12,4030,16120
Pennsylvania,42,PA,Lawrence,42073,2019,1,880,5520
Pennsylvania,42,PA,Lawrence,42073,2020,1,1000,6480
Pennsylvania,42,PA,Lawrence,42073,2020,12,1350,6070
Pennsylvania,42,PA,Lebanon,42075,2019,1,1040,5650
Pennsylvania,42,PA,Lebanon,42075,2020,1,1050,6100
Pennsylvania,42,PA,Lebanon,42075,2020,12,1630,5900
Pennsylvania,42,PA,Lehigh,42077,2019,1,2820,15390
Pennsylvania,42,PA,Lehigh,42077,2020,1,2570,14740
Pennsylvania,42,PA,Lehigh,42077,2020,12,3380,15150
Pennsylvania,42,PA,Luzerne,42079,2019,1,3660,20470
Pennsylvania,42,PA,Luzerne,42079,2020,1,3220,20240
Pennsylvania,42,PA,Luzerne,42079,2020,12,3870,20600
Pennsylvania,42,PA,Lycoming,42081,2019,1,1290,6940
Pennsylvania,42,PA,Lycoming,42081,2020,1,1220,7430
Pennsylvania,42,PA,Lycoming,42081,2020,12,1380,7340
Pennsylvania,42,PA,McKean,42083,2019,1,330,1800
Pennsylvania,42,PA,McKean,42083,2020,1,340,2290
Pennsylvania,42,PA,McKean,42083,2020,12,340,2560
Pennsylvania,42,PA,Mercer,42085,2019,1,810,4800
Pennsylvania,42,PA,Mercer,42085,2020,1,990,5700
Pennsylvania,42,PA,Mercer,42085,2020,12,1100,5440
Pennsylvania,42,PA,Mifflin,42087,2019,1,560,2590
Pennsylvania,42,PA,Mifflin,42087,2020,1,520,2630
Pennsylvania,42,PA,Mifflin,42087,2020,12,540,2490
