state_name,state_fips,state_abbrev,county_name,county_fips,year,week,initial_claims
South Carolina,45,SC,Abbeville,45001,2020,12,83
South Carolina,45,SC,Aiken,45003,2020,12,408
South Carolina,45,SC,Allendale,45005,2020,12,20
South Carolina,45,SC,Anderson,45007,2020,12,967
South Carolina,45,SC,Bamberg,45009,2020,12,32
South Carolina,45,SC,Barnwell,45011,2020,12,48
South Carolina,45,SC,Beaufort,45013,2020,12,1090
South Carolina,45,SC,Berkeley,45015,2020,12,1321
South Carolina,45,SC,Calhoun,45017,2020,12,26
South Carolina,45,SC,Charleston,45019,2020,12,4183
South Carolina,45,SC,Cherokee,45021,2020,12,238
South Carolina,45,SC,Chester,45023,2020,12,153
South Carolina,45,SC,Chesterfield,45025,2020,12,65
South Carolina,45,SC,Clarendon,45027,2020,12,68
South Carolina,45,SC,Colleton,45029,2020,12,155
South Carolina,45,SC,Darlington,45031,2020,12,190
South Carolina,45,SC,Dillon,45033,2020,12,64
South Carolina,45,SC,Dorchester,45035,2020,12,949
South Carolina,45,SC,Edgefield,45037,2020,12,55
South Carolina,45,SC,Fairfield,45039,2020,12,56
South Carolina,45,SC,Florence,45041,2020,12,553
South Carolina,45,SC,Georgetown,45043,2020,12,311
South Carolina,45,SC,Greenville,45045,2020,12,3265
South Carolina,45,SC,Greenwood,45047,2020,12,329
South Carolina,45,SC,Hampton,45049,2020,12,53
South Carolina,45,SC,Horry,45051,2020,12,5258
South Carolina,45,SC,Jasper,45053,2020,12,118
South Carolina,45,SC,Kershaw,45055,2020,12,338
South Carolina,45,SC,Lancaster,45057,2020,12,307
South Carolina,45,SC,Laurens,45059,2020,12,239
South Carolina,45,SC,Lee,45061,2020,12,25
South Carolina,45,SC,Lexington,45063,2020,12,1487
South Carolina,45,SC,McCormick,45065,2020,12,15
South Carolina,45,SC,Marion,45067,2020,12,125
South Carolina,45,SC,Marlboro,45069,2020,12,50
South Carolina,45,SC,Newberry,45071,2020,12,106
South Carolina,45,SC,Oconee,45073,2020,12,378
South Carolina,45,SC,Orangeburg,45075,2020,12,277
South Carolina,45,SC,Pickens,45077,2020,12,716
