state_name,state_fips,state_abbrev,county_name,county_fips,year,week,initial_claims
Virginia,51,VA,Accomack,51001,2020,16,170
Virginia,51,VA,Albemarle,51003,2020,16,602
Virginia,51,VA,Alexandria City,51510,2020,16,1398
Virginia,51,VA,Alleghany,51005,2020,16,38
Virginia,51,VA,Amelia,51007,2020,16,88
Virginia,51,VA,Amherst,51009,2020,16,197
Virginia,51,VA,Appomattox,51011,2020,16,88
Virginia,51,VA,Arlington,51013,2020,16,1438
Virginia,51,VA,Augusta,51015,2020,16,339
Virginia,51,VA,Bath,51017,2020,16,52
Virginia,51,VA,Bedford,51019,2020,16,474
Virginia,51,VA,Bland,51021,2020,16,55
Virginia,51,VA,Botetourt,51023,2020,16,196
Virginia,51,VA,Bristol City,51520,2020,16,133
Virginia,51,VA,Brunswick,51025,2020,16,91
Virginia,51,VA,Buchanan,51027,2020,16,75
Virginia,51,VA,Buckingham,51029,2020,16,55
Virginia,51,VA,Buena Vista City,51530,2020,16,81
Virginia,51,VA,Campbell,51031,2020,16,286
Virginia,51,VA,Caroline,51033,2020,16,233
Virginia,51,VA,Carroll,51035,2020,16,305
Virginia,51,VA,Charles City,51036,2020,16,48
Virginia,51,VA,Charlotte,51037,2020,16,78
Virginia,51,VA,Charlottesville City,51540,2020,16,504
Virginia,51,VA,Chesapeake City,51550,2020,16,2119
Virginia,51,VA,Chesterfield,51041,2020,16,3173
Virginia,51,VA,Clarke,51043,2020,16,97
Virginia,51,VA,Colonial Heights Cit,51570,2020,16,213
Virginia,51,VA,Covington City,51580,2020,16,88
Virginia,51,VA,Craig,51045,2020,16,23
Virginia,51,VA,Culpeper,51047,2020,16,396
Virginia,51,VA,Cumberland,51049,2020,16,39
Virginia,51,VA,Danville City,51590,2020,16,467
Virginia,51,VA,Dickenson,51051,2020,16,50
Virginia,51,VA,Dinwiddie,51053,2020,16,109
Virginia,51,VA,Emporia City,51595,2020,16,4
Virginia,51,VA,Essex,51057,2020,16,73
Virginia,51,VA,Fairfax City,51600,2020,16,5
Virginia,51,VA,Fairfax,51059,2020,16,11239
Virginia,51,VA,Falls Church City,51610,2020,16,87
Virginia,51,VA,Fauquier,51061,2020,16,497
Virginia,51,VA,Floyd,51063,2020,16,115
Virginia,51,VA,Fluvanna,51065,2020,16,183
Virginia,51,VA,Franklin City,51620,2020,16,81
Virginia,51,VA,Franklin,51067,2020,16,327
Virginia,51,VA,Frederick,51069,2020,16,724
Virginia,51,VA,Fredericksburg City,51630,2020,16,279
Virginia,51,VA,Galax City,51640,2020,16,1
Virginia,51,VA,Giles,51071,2020,16,109
Virginia,51,VA,Gloucester,51073,2020,16,260
Virginia,51,VA,Goochland,51075,2020,16,148
Virginia,51,VA,Grayson,51077,2020,16,66
Virginia,51,VA,Greene,51079,2020,16,141
Virginia,51,VA,Greensville,51081,2020,16,130
Virginia,51,VA,Halifax,51083,2020,16,202
Virginia,51,VA,Hampton City,51650,2020,16,1427
Virginia,51,VA,Hanover,51085,2020,16,891
Virginia,51,VA,Harrisonburg City,51660,2020,16,814
Virginia,51,VA,Henrico,51087,2020,16,3289
Virginia,51,VA,Henry,51089,2020,16,619
Virginia,51,VA,Highland,51091,2020,16,10
Virginia,51,VA,Hopewell City,51670,2020,16,251
Virginia,51,VA,Isle of Wight,51093,2020,16,243
Virginia,51,VA,James City,51095,2020,16,995
Virginia,51,VA,King and Queen,51097,2020,16,41
Virginia,51,VA,King George,51099,2020,16,142
Virginia,51,VA,King William,51101,2020,16,148
Virginia,51,VA,Lancaster,51103,2020,16,57
Virginia,51,VA,Lee,51105,2020,16,140
Virginia,51,VA,Lexington City,51678,2020,16,3
Virginia,51,VA,Loudoun,51107,2020,16,3751
Virginia,51,VA,Louisa,51109,2020,16,243
Virginia,51,VA,Lunenburg,51111,2020,16,48
Virginia,51,VA,Lynchburg City,51680,2020,16,859
Virginia,51,VA,Madison,51113,2020,16,65
Virginia,51,VA,Manassas City,51683,2020,16,482
Virginia,51,VA,Manassas Park City,51685,2020,16,4
Virginia,51,VA,Martinsville City,51690,2020,16,19
Virginia,51,VA,Mathews,51115,2020,16,55
Virginia,51,VA,Mecklenburg,51117,2020,16,168
Virginia,51,VA,Middlesex,51119,2020,16,69
Virginia,51,VA,Montgomery,51121,2020,16,606
Virginia,51,VA,Nelson,51125,2020,16,119
Virginia,51,VA,New Kent,51127,2020,16,194
Virginia,51,VA,Newport News City,51700,2020,16,2146
Virginia,51,VA,Norfolk City,51710,2020,16,2378
Virginia,51,VA,Northampton,51131,2020,16,66
Virginia,51,VA,Northumberland,51133,2020,16,98
Virginia,51,VA,Norton City,51720,2020,16,33
Virginia,51,VA,Nottoway,51135,2020,16,90
Virginia,51,VA,Orange,51137,2020,16,349
Virginia,51,VA,Page,51139,2020,16,284
Virginia,51,VA,Patrick,51141,2020,16,83
Virginia,51,VA,Petersburg City,51730,2020,16,607
Virginia,51,VA,Pittsylvania,51143,2020,16,278
Virginia,51,VA,Poquoson City,51735,2020,16,67
Virginia,51,VA,Portsmouth City,51740,2020,16,912
Virginia,51,VA,Powhatan,51145,2020,16,208
Virginia,51,VA,Prince Edward,51147,2020,16,193
Virginia,51,VA,Prince George,51149,2020,16,191
Virginia,51,VA,Prince William,51153,2020,16,5080
Virginia,51,VA,Pulaski,51155,2020,16,213
Virginia,51,VA,Radford City,51750,2020,16,172
Virginia,51,VA,Rappahannock,51157,2020,16,42
Virginia,51,VA,Richmond City,51760,2020,16,2849
Virginia,51,VA,Richmond,51159,2020,16,44
Virginia,51,VA,Roanoke City,51770,2020,16,957
Virginia,51,VA,Roanoke,51161,2020,16,713
Virginia,51,VA,Rockbridge,51163,2020,16,206
Virginia,51,VA,Rockingham,51165,2020,16,668
Virginia,51,VA,Russell,51167,2020,16,120
Virginia,51,VA,Salem City,51775,2020,16,293
Virginia,51,VA,Scott,51169,2020,16,104
Virginia,51,VA,Shenandoah,51171,2020,16,323
Virginia,51,VA,Smyth,51173,2020,16,193
Virginia,51,VA,Southampton,51175,2020,16,56
Virginia,51,VA,Spotsylvania,51177,2020,16,1185
Virginia,51,VA,Stafford,51179,2020,16,1164
Virginia,51,VA,Staunton City,51790,2020,16,289
