state_name,state_fips,state_abbrev,county_name,county_fips,year,month,continued_claims,initial_claims
Washington,53,WA,Adams,53001,2019,1,336,75
Washington,53,WA,Adams,53001,2019,2,334,149
Washington,53,WA,Adams,53001,2019,3,326,94
Washington,53,WA,Adams,53001,2019,4,350,278
Washington,53,WA,Adams,53001,2019,5,139,57
Washington,53,WA,Adams,53001,2019,6,96,30
Washington,53,WA,Adams,53001,2019,7,94,44
Washington,53,WA,Adams,53001,2019,8,84,40
Washington,53,WA,Adams,53001,2019,9,101,53
Washington,53,WA,Adams,53001,2019,10,105,103
Washington,53,WA,Adams,53001,2019,11,312,366
Washington,53,WA,Adams,53001,2019,12,478,180
Washington,53,WA,Adams,53001,2020,1,366,112
Washington,53,WA,Adams,53001,2020,2,271,75
Washington,53,WA,Asotin,53003,2019,1,125,46
Washington,53,WA,Asotin,53003,2019,2,118,36
Washington,53,WA,Asotin,53003,2019,3,114,24
Washington,53,WA,Asotin,53003,2019,4,100,58
Washington,53,WA,Asotin,53003,2019,5,88,29
Washington,53,WA,Asotin,53003,2019,6,59,18
Washington,53,WA,Asotin,53003,2019,7,87,52
Washington,53,WA,Asotin,53003,2019,8,59,21
Washington,53,WA,Asotin,53003,2019,9,52,24
Washington,53,WA,Asotin,53003,2019,10,45,30
Washington,53,WA,Asotin,53003,2019,11,61,44
Washington,53,WA,Asotin,53003,2019,12,98,68
Washington,53,WA,Asotin,53003,2020,1,124,58
Washington,53,WA,Asotin,53003,2020,2,103,22
Washington,53,WA,Benton,53005,2019,1,2446,1004
Washington,53,WA,Benton,53005,2019,2,2677,1439
Washington,53,WA,Benton,53005,2019,3,2631,701
Washington,53,WA,Benton,53005,2019,4,1736,699
Washington,53,WA,Benton,53005,2019,5,1455,767
Washington,53,WA,Benton,53005,2019,6,1336,623
Washington,53,WA,Benton,53005,2019,7,1230,701
Washington,53,WA,Benton,53005,2019,8,1241,589
Washington,53,WA,Benton,53005,2019,9,1204,587
Washington,53,WA,Benton,53005,2019,10,1205,821
Washington,53,WA,Benton,53005,2019,11,1579,1425
Washington,53,WA,Benton,53005,2019,12,2453,1536
Washington,53,WA,Benton,53005,2020,1,2738,1190
Washington,53,WA,Benton,53005,2020,2,2185,589
Washington,53,WA,Chelan,53007,2019,1,1208,525
Washington,53,WA,Chelan,53007,2019,2,1234,444
Washington,53,WA,Chelan,53007,2019,3,1174,317
Washington,53,WA,Chelan,53007,2019,4,865,342
Washington,53,WA,Chelan,53007,2019,5,693,320
Washington,53,WA,Chelan,53007,2019,6,584,197
Washington,53,WA,Chelan,53007,2019,7,474,282
Washington,53,WA,Chelan,53007,2019,8,589,322
Washington,53,WA,Chelan,53007,2019,9,483,255
Washington,53,WA,Chelan,53007,2019,10,491,428
Washington,53,WA,Chelan,53007,2019,11,727,549
Washington,53,WA,Chelan,53007,2019,12,1122,667
Washington,53,WA,Chelan,53007,2020,1,1258,629
Washington,53,WA,Chelan,53007,2020,2,1095,291
Washington,53,WA,Clallam,53009,2019,1,805,319
Washington,53,WA,Clallam,53009,2019,2,881,445
Washington,53,WA,Clallam,53009,2019,3,705,163
Washington,53,WA,Clallam,53009,2019,4,575,181
Washington,53,WA,Clallam,53009,2019,5,432,166
Washington,53,WA,Clallam,53009,2019,6,409,190
Washington,53,WA,Clallam,53009,2019,7,421,205
Washington,53,WA,Clallam,53009,2019,8,379,164
Washington,53,WA,Clallam,53009,2019,9,391,185
Washington,53,WA,Clallam,53009,2019,10,421,290
Washington,53,WA,Clallam,53009,2019,11,483,284
Washington,53,WA,Clallam,53009,2019,12,635,385
Washington,53,WA,Clallam,53009,2020,1,768,483
Washington,53,WA,Clallam,53009,2020,2,630,205
Washington,53,WA,Clark,53011,2019,1,2747,1342
Washington,53,WA,Clark,53011,2019,2,2553,1132
Washington,53,WA,Clark,53011,2019,3,2637,1037
Washington,53,WA,Clark,53011,2019,4,2542,1083
Washington,53,WA,Clark,53011,2019,5,2312,975
Washington,53,WA,Clark,53011,2019,6,2435,1117
Washington,53,WA,Clark,53011,2019,7,2484,1067
Washington,53,WA,Clark,53011,2019,8,2370,933
Washington,53,WA,Clark,53011,2019,9,2162,1009
Washington,53,WA,Clark,53011,2019,10,2086,1087
Washington,53,WA,Clark,53011,2019,11,2145,1158
Washington,53,WA,Clark,53011,2019,12,2636,1677
Washington,53,WA,Clark,53011,2020,1,3020,1656
Washington,53,WA,Clark,53011,2020,2,2573,1065
Washington,53,WA,Columbia,53013,2019,1,36,16
Washington,53,WA,Columbia,53013,2019,2,40,13
Washington,53,WA,Columbia,53013,2019,3,39,7
Washington,53,WA,Columbia,53013,2019,4,27,10
Washington,53,WA,Columbia,53013,2019,5,21,6
Washington,53,WA,Columbia,53013,2019,6,18,6
Washington,53,WA,Columbia,53013,2019,7,11,1
Washington,53,WA,Columbia,53013,2019,8,14,8
Washington,53,WA,Columbia,53013,2019,9,15,7
Washington,53,WA,Columbia,53013,2019,10,16,14
Washington,53,WA,Columbia,53013,2019,11,25,18
Washington,53,WA,Columbia,53013,2019,12,37,19
Washington,53,WA,Columbia,53013,2020,1,40,17
Washington,53,WA,Columbia,53013,2020,2,34,6
Washington,53,WA,Cowlitz,53015,2019,1,1040,460
Washington,53,WA,Cowlitz,53015,2019,2,1001,501
Washington,53,WA,Cowlitz,53015,2019,3,1019,427
Washington,53,WA,Cowlitz,53015,2019,4,931,404
Washington,53,WA,Cowlitz,53015,2019,5,853,395
Washington,53,WA,Cowlitz,53015,2019,6,848,377
Washington,53,WA,Cowlitz,53015,2019,7,859,484
Washington,53,WA,Cowlitz,53015,2019,8,806,371
Washington,53,WA,Cowlitz,53015,2019,9,802,362
Washington,53,WA,Cowlitz,53015,2019,10,798,504
Washington,53,WA,Cowlitz,53015,2019,11,838,533
Washington,53,WA,Cowlitz,53015,2019,12,1135,663
Washington,53,WA,Cowlitz,53015,2020,1,1179,619
Washington,53,WA,Cowlitz,53015,2020,2,1022,372
Washington,53,WA,Douglas,53017,2019,1,688,277
Washington,53,WA,Douglas,53017,2019,2,682,230
Washington,53,WA,Douglas,53017,2019,3,662,177
Washington,53,WA,Douglas,53017,2019,4,483,187
Washington,53,WA,Douglas,53017,2019,5,328,129
Washington,53,WA,Douglas,53017,2019,6,311,124
Washington,53,WA,Douglas,53017,2019,7,261,175
Washington,53,WA,Douglas,53017,2019,8,328,166
Washington,53,WA,Douglas,53017,2019,9,230,110
Washington,53,WA,Douglas,53017,2019,10,225,204
Washington,53,WA,Douglas,53017,2019,11,376,298
Washington,53,WA,Douglas,53017,2019,12,581,369
Washington,53,WA,Douglas,53017,2020,1,686,311
Washington,53,WA,Douglas,53017,2020,2,590,137
Washington,53,WA,Ferry,53019,2019,1,151,71
Washington,53,WA,Ferry,53019,2019,2,158,39
Washington,53,WA,Ferry,53019,2019,3,154,17
Washington,53,WA,Ferry,53019,2019,4,120,21
Washington,53,WA,Ferry,53019,2019,5,69,9
Washington,53,WA,Ferry,53019,2019,6,50,19
Washington,53,WA,Ferry,53019,2019,7,50,23
Washington,53,WA,Ferry,53019,2019,8,57,19
Washington,53,WA,Ferry,53019,2019,9,52,26
Washington,53,WA,Ferry,53019,2019,10,63,32
Washington,53,WA,Ferry,53019,2019,11,77,46
Washington,53,WA,Ferry,53019,2019,12,112,61
Washington,53,WA,Ferry,53019,2020,1,115,63
Washington,53,WA,Ferry,53019,2020,2,133,31
Washington,53,WA,Franklin,53021,2019,1,1490,457
Washington,53,WA,Franklin,53021,2019,2,1591,749
Washington,53,WA,Franklin,53021,2019,3,1673,435
Washington,53,WA,Franklin,53021,2019,4,974,343
Washington,53,WA,Franklin,53021,2019,5,725,515
Washington,53,WA,Franklin,53021,2019,6,664,330
Washington,53,WA,Franklin,53021,2019,7,595,438
Washington,53,WA,Franklin,53021,2019,8,652,272
Washington,53,WA,Franklin,53021,2019,9,534,249
Washington,53,WA,Franklin,53021,2019,10,548,441
Washington,53,WA,Franklin,53021,2019,11,967,919
Washington,53,WA,Franklin,53021,2019,12,1508,819
Washington,53,WA,Franklin,53021,2020,1,1599,586
Washington,53,WA,Franklin,53021,2020,2,1302,277
Washington,53,WA,Garfield,53023,2019,1,25,19
Washington,53,WA,Garfield,53023,2019,2,23,2
Washington,53,WA,Garfield,53023,2019,3,20,3
Washington,53,WA,Garfield,53023,2019,4,9,2
Washington,53,WA,Garfield,53023,2019,5,9,3
Washington,53,WA,Garfield,53023,2019,6,8,6
Washington,53,WA,Garfield,53023,2019,7,9,1
Washington,53,WA,Garfield,53023,2019,8,6,2
Washington,53,WA,Garfield,53023,2019,9,7,4
Washington,53,WA,Garfield,53023,2019,10,8,5
Washington,53,WA,Garfield,53023,2019,11,14,7
Washington,53,WA,Garfield,53023,2019,12,16,5
Washington,53,WA,Garfield,53023,2020,1,21,12
Washington,53,WA,Garfield,53023,2020,2,21,1
Washington,53,WA,Grant,53025,2019,1,1887,545
Washington,53,WA,Grant,53025,2019,2,1842,682
Washington,53,WA,Grant,53025,2019,3,1830,488
Washington,53,WA,Grant,53025,2019,4,1274,373
Washington,53,WA,Grant,53025,2019,5,874,320
Washington,53,WA,Grant,53025,2019,6,760,252
Washington,53,WA,Grant,53025,2019,7,692,404
Washington,53,WA,Grant,53025,2019,8,724,283
Washington,53,WA,Grant,53025,2019,9,667,281
Washington,53,WA,Grant,53025,2019,10,699,667
Washington,53,WA,Grant,53025,2019,11,1281,1536
Washington,53,WA,Grant,53025,2019,12,2419,1214
Washington,53,WA,Grant,53025,2020,1,2500,736
Washington,53,WA,Grant,53025,2020,2,1815,430
Washington,53,WA,Grays Harbor,53027,2019,1,902,353
Washington,53,WA,Grays Harbor,53027,2019,2,886,508
Washington,53,WA,Grays Harbor,53027,2019,3,862,306
Washington,53,WA,Grays Harbor,53027,2019,4,740,273
Washington,53,WA,Grays Harbor,53027,2019,5,610,275
Washington,53,WA,Grays Harbor,53027,2019,6,561,205
Washington,53,WA,Grays Harbor,53027,2019,7,504,287
Washington,53,WA,Grays Harbor,53027,2019,8,440,282
Washington,53,WA,Grays Harbor,53027,2019,9,521,319
Washington,53,WA,Grays Harbor,53027,2019,10,553,382
Washington,53,WA,Grays Harbor,53027,2019,11,626,383
Washington,53,WA,Grays Harbor,53027,2019,12,885,529
Washington,53,WA,Grays Harbor,53027,2020,1,961,437
Washington,53,WA,Grays Harbor,53027,2020,2,791,260
Washington,53,WA,Island,53029,2019,1,485,231
Washington,53,WA,Island,53029,2019,2,497,275
Washington,53,WA,Island,53029,2019,3,418,129
Washington,53,WA,Island,53029,2019,4,403,194
Washington,53,WA,Island,53029,2019,5,391,152
Washington,53,WA,Island,53029,2019,6,392,193
Washington,53,WA,Island,53029,2019,7,372,174
Washington,53,WA,Island,53029,2019,8,366,144
Washington,53,WA,Island,53029,2019,9,391,161
Washington,53,WA,Island,53029,2019,10,366,202
Washington,53,WA,Island,53029,2019,11,365,197
Washington,53,WA,Island,53029,2019,12,446,202
Washington,53,WA,Island,53029,2020,1,490,288
Washington,53,WA,Island,53029,2020,2,420,157
Washington,53,WA,Jefferson,53031,2019,1,196,88
Washington,53,WA,Jefferson,53031,2019,2,225,118
Washington,53,WA,Jefferson,53031,2019,3,189,56
Washington,53,WA,Jefferson,53031,2019,4,174,66
Washington,53,WA,Jefferson,53031,2019,5,151,47
Washington,53,WA,Jefferson,53031,2019,6,141,46
Washington,53,WA,Jefferson,53031,2019,7,141,53
Washington,53,WA,Jefferson,53031,2019,8,135,42
Washington,53,WA,Jefferson,53031,2019,9,137,46
Washington,53,WA,Jefferson,53031,2019,10,134,80
Washington,53,WA,Jefferson,53031,2019,11,151,80
Washington,53,WA,Jefferson,53031,2019,12,178,90
Washington,53,WA,Jefferson,53031,2020,1,200,103
Washington,53,WA,Jefferson,53031,2020,2,181,47
Washington,53,WA,King,53033,2019,1,13988,6952
Washington,53,WA,King,53033,2019,2,13895,5841
Washington,53,WA,King,53033,2019,3,13030,4594
Washington,53,WA,King,53033,2019,4,12495,5162
Washington,53,WA,King,53033,2019,5,11724,4278
Washington,53,WA,King,53033,2019,6,11454,4522
Washington,53,WA,King,53033,2019,7,11911,5078
Washington,53,WA,King,53033,2019,8,11547,4555
Washington,53,WA,King,53033,2019,9,11839,4699
Washington,53,WA,King,53033,2019,10,11551,5584
Washington,53,WA,King,53033,2019,11,11740,4881
Washington,53,WA,King,53033,2019,12,13192,5567
Washington,53,WA,King,53033,2020,1,14241,7640
Washington,53,WA,King,53033,2020,2,13225,4990
Washington,53,WA,Kitsap,53035,2019,1,1726,860
Washington,53,WA,Kitsap,53035,2019,2,1783,785
Washington,53,WA,Kitsap,53035,2019,3,1554,459
Washington,53,WA,Kitsap,53035,2019,4,1349,524
Washington,53,WA,Kitsap,53035,2019,5,1200,529
Washington,53,WA,Kitsap,53035,2019,6,1249,529
Washington,53,WA,Kitsap,53035,2019,7,1175,516
Washington,53,WA,Kitsap,53035,2019,8,1132,509
Washington,53,WA,Kitsap,53035,2019,9,1177,556
Washington,53,WA,Kitsap,53035,2019,10,1183,552
Washington,53,WA,Kitsap,53035,2019,11,1153,576
Washington,53,WA,Kitsap,53035,2019,12,1359,678
Washington,53,WA,Kitsap,53035,2020,1,1488,897
Washington,53,WA,Kitsap,53035,2020,2,1334,481
Washington,53,WA,Kittitas,53037,2019,1,483,227
Washington,53,WA,Kittitas,53037,2019,2,516,203
Washington,53,WA,Kittitas,53037,2019,3,471,127
Washington,53,WA,Kittitas,53037,2019,4,342,116
Washington,53,WA,Kittitas,53037,2019,5,260,104
Washington,53,WA,Kittitas,53037,2019,6,242,95
Washington,53,WA,Kittitas,53037,2019,7,214,85
Washington,53,WA,Kittitas,53037,2019,8,176,85
Washington,53,WA,Kittitas,53037,2019,9,200,109
Washington,53,WA,Kittitas,53037,2019,10,229,162
