"Weekly Wyoming Unemployment Insurance Claims by County of Claimant Residence, 2019-2020",,,,,,
"Week ending April 18, 2020, is referred to as 2020 Week 16. ",,,,,,
"Updated April 23, 2020. ",,,,,,
,,,,,,
County,Year,Week,Week Ending,Employers,Initial Claims,Continued Claims
 Total,2020,16,18/4/2020,"4,575","3,294","15,735"
 Total,2020,15,11/4/2020,"4,505","5,686","12,698"
 Total,2020,14,4/4/2020,"4,164","6,529","9,196"
 Total,2020,13,28/3/2020,"3,454","6,275","5,725"
 Total,2020,12,21/3/2020,"2,414","3,731","3,935"
 Total,2020,11,14/3/2020,"1,680",504,"3,983"
 Total,2020,10,7/3/2020,"1,670",522,"4,123"
 Total,2020,9,29/2/2020,"1,695",463,"4,153"
 Total,2020,8,22/2/2020,"1,707",377,"4,269"
 Total,2020,7,15/2/2020,"1,754",597,"4,377"
 Total,2020,6,8/2/2020,"1,699",587,"4,156"
 Total,2020,5,1/2/2020,"1,706",538,"4,132"
 Total,2020,4,25/1/2020,"1,683",538,"4,057"
 Total,2020,3,18/1/2020,"1,656",643,"4,032"
 Total,2020,2,11/1/2020,"1,628",839,"3,955"
 Total,2020,1,4/1/2020,"1,559",646,"3,808"
 Total,2019,52,28/12/2019,"1,447",630,"3,379"
 Total,2019,51,21/12/2019,"1,503",625,"3,425"
 Total,2019,50,14/12/2019,"1,462",545,"3,438"
 Total,2019,49,7/12/2019,"1,491",758,"3,407"
 Total,2019,48,30/11/2019,"1,334",580,"3,071"
 Total,2019,47,23/11/2019,"1,345",610,"2,920"
 Total,2019,46,16/11/2019,"1,290",531,"2,691"
 Total,2019,45,9/11/2019,"1,291",801,"2,438"
 Total,2019,44,2/11/2019,"1,178",763,"2,023"
 Total,2019,43,26/10/2019,"1,004",397,"1,822"
 Total,2019,42,19/10/2019,"1,056",504,"1,777"
 Total,2019,41,12/10/2019,"1,018",467,"1,668"
 Total,2019,40,5/10/2019,"1,021",425,"1,624"
 Total,2019,39,28/9/2019,954,297,"1,561"
 Total,2019,38,21/9/2019,922,271,"1,531"
 Total,2019,37,14/9/2019,933,240,"1,539"
 Total,2019,36,7/9/2019,911,213,"1,576"
 Total,2019,35,31/8/2019,916,222,"1,647"
 Total,2019,34,24/8/2019,936,232,"1,771"
 Total,2019,33,17/8/2019,920,218,"1,828"
 Total,2019,32,10/8/2019,895,200,"1,887"
 Total,2019,31,3/8/2019,933,177,"1,965"
 Total,2019,30,27/7/2019,913,165,"2,046"
 Total,2019,29,20/7/2019,946,242,"2,077"
 Total,2019,28,13/7/2019,947,447,"1,851"
 Total,2019,27,6/7/2019,910,429,"1,640"
 Total,2019,26,29/6/2019,967,241,"1,754"
 Total,2019,25,22/6/2019,960,252,"1,711"
 Total,2019,24,15/6/2019,977,296,"1,730"
 Total,2019,23,8/6/2019,"1,065",379,"1,776"
 Total,2019,22,1/6/2019,"1,105",424,"1,858"
 Total,2019,21,25/5/2019,874,229,"1,395"
 Total,2019,20,18/5/2019,"1,133",194,"2,002"
 Total,2019,19,11/5/2019,"1,222",261,"2,262"
 Total,2019,18,4/5/2019,"1,291",319,"2,416"
 Total,2019,17,27/4/2019,"1,309",282,"2,551"
 Total,2019,16,20/4/2019,"1,407",351,"2,758"
 Total,2019,15,13/4/2019,"1,457",600,"2,687"
 Total,2019,14,6/4/2019,"1,520",341,"3,005"
 Total,2019,13,30/3/2019,"1,549",292,"3,175"
 Total,2019,12,23/3/2019,"1,619",350,"3,338"
