FIPS,County,Week Ending,Initial Claims,Continued Weeks Claimed
19001,Adair,04/18/2020,39,270
19003,Adams,04/18/2020,23,120
19005,Allamakee,04/18/2020,91,452
19007,Appanoose,04/18/2020,95,562
19009,Audubon,04/18/2020,14,156
19011,Benton,04/18/2020,166,"1,085"
19013,Black Hawk,04/18/2020,"1,331","6,840"
19015,Boone,04/18/2020,150,"1,014"
19017,Bremer,04/18/2020,204,853
19019,Buchanan,04/18/2020,120,798
19021,Buena Vista,04/18/2020,71,525
19023,Butler,04/18/2020,98,547
19025,Calhoun,04/18/2020,56,216
19027,Carroll,04/18/2020,151,749
19029,Cass,04/18/2020,73,471
19031,Cedar,04/18/2020,104,726
19033,Cerro Gordo,04/18/2020,469,"2,396"
19035,Cherokee,04/18/2020,44,329
19037,Chickasaw,04/18/2020,144,534
19039,Clarke,04/18/2020,54,423
19041,Clay,04/18/2020,133,657
19043,Clayton,04/18/2020,112,784
19045,Clinton,04/18/2020,362,"2,234"
19047,Crawford,04/18/2020,77,461
19049,Dallas,04/18/2020,456,"2,984"
19051,Davis,04/18/2020,58,248
19053,Decatur,04/18/2020,31,224
19055,Delaware,04/18/2020,98,714
19057,Des Moines,04/18/2020,681,"2,290"
19059,Dickinson,04/18/2020,231,835
19061,Dubuque,04/18/2020,"1,028","5,727"
19063,Emmet,04/18/2020,103,400
19065,Fayette,04/18/2020,159,788
19067,Floyd,04/18/2020,172,757
19069,Franklin,04/18/2020,47,294
19071,Fremont,04/18/2020,30,120
19073,Greene,04/18/2020,56,423
19075,Grundy,04/18/2020,76,487
19077,Guthrie,04/18/2020,64,440
19079,Hamilton,04/18/2020,99,511
19081,Hancock,04/18/2020,169,394
19083,Hardin,04/18/2020,94,513
19085,Harrison,04/18/2020,58,263
19087,Henry,04/18/2020,191,806
19089,Howard,04/18/2020,131,302
19091,Humboldt,04/18/2020,59,341
19093,Ida,04/18/2020,28,162
19095,Iowa,04/18/2020,153,798
19097,Jackson,04/18/2020,139,954
19099,Jasper,04/18/2020,310,"1,714"
19101,Jefferson,04/18/2020,160,693
19103,Johnson,04/18/2020,992,"6,923"
19105,Jones,04/18/2020,98,903
19107,Keokuk,04/18/2020,94,368
19109,Kossuth,04/18/2020,95,502
19111,Lee,04/18/2020,351,"1,616"
19113,Linn,04/18/2020,"1,816","12,852"
19115,Louisa,04/18/2020,127,378
19117,Lucas,04/18/2020,34,253
19119,Lyon,04/18/2020,42,212
19121,Madison,04/18/2020,142,873
19123,Mahaska,04/18/2020,245,844
19125,Marion,04/18/2020,416,"1,111"
19127,Marshall,04/18/2020,231,"1,910"
19129,Mills,04/18/2020,57,264
19131,Mitchell,04/18/2020,62,338
19133,Monona,04/18/2020,60,319
19135,Monroe,04/18/2020,73,307
19137,Montgomery,04/18/2020,92,305
19139,Muscatine,04/18/2020,606,"1,803"
19141,O'Brien,04/18/2020,55,424
19143,Osceola,04/18/2020,22,140
19145,Page,04/18/2020,91,483
19147,Palo Alto,04/18/2020,60,365
19149,Plymouth,04/18/2020,147,799
19151,Pocahontas,04/18/2020,23,182
19153,Polk,04/18/2020,"4,236","28,743"
19155,Pottawattamie,04/18/2020,518,"3,087"
19157,Poweshiek,04/18/2020,129,804
19159,Ringgold,04/18/2020,17,97
19161,Sac,04/18/2020,37,241
19163,Scott,04/18/2020,"1,562","8,794"
19165,Shelby,04/18/2020,42,352
19167,Sioux,04/18/2020,147,886
19169,Story,04/18/2020,589,"3,834"
19171,Tama,04/18/2020,102,675
19173,Taylor,04/18/2020,19,134
19175,Union,04/18/2020,80,652
19177,Van Buren,04/18/2020,72,289
19179,Wapello,04/18/2020,319,"1,479"
19181,Warren,04/18/2020,406,"2,202"
19183,Washington,04/18/2020,126,808
19185,Wayne,04/18/2020,22,217
19187,Webster,04/18/2020,250,"1,504"
19189,Winnebago,04/18/2020,275,528
19191,Winneshiek,04/18/2020,142,798
19193,Woodbury,04/18/2020,638,"3,974"
19195,Worth,04/18/2020,123,342
19197,Wright,04/18/2020,86,445
19001,Adair,4/11/2020,70,253
19003,Adams,4/11/2020,24,117
19005,Allamakee,4/11/2020,169,399
19007,Appanoose,4/11/2020,238,394
19009,Audubon,4/11/2020,37,143
19011,Benton,4/11/2020,297,"1,124"
19013,Black Hawk,4/11/2020,"1,901","5,935"
19015,Boone,4/11/2020,278,880
19017,Bremer,4/11/2020,266,760
19019,Buchanan,4/11/2020,205,743
19021,Buena Vista,4/11/2020,138,434
19023,Butler,4/11/2020,190,447
19025,Calhoun,4/11/2020,68,180
19027,Carroll,4/11/2020,265,573
19029,Cass,4/11/2020,135,407
19031,Cedar,4/11/2020,212,639
19033,Cerro Gordo,4/11/2020,754,"1,935"
19035,Cherokee,4/11/2020,91,294
19037,Chickasaw,4/11/2020,231,462
19039,Clarke,4/11/2020,108,384
19041,Clay,4/11/2020,193,589
19043,Clayton,4/11/2020,215,711
19045,Clinton,4/11/2020,719,"1,807"
19047,Crawford,4/11/2020,106,454
19049,Dallas,4/11/2020,861,"2,456"
19051,Davis,4/11/2020,105,179
19053,Decatur,4/11/2020,74,194
19055,Delaware,4/11/2020,171,605
19057,Des Moines,4/11/2020,703,"1,783"
19059,Dickinson,4/11/2020,213,827
19061,Dubuque,4/11/2020,"1,910","4,499"
19063,Emmet,4/11/2020,229,259
19065,Fayette,4/11/2020,213,729
19067,Floyd,4/11/2020,198,642
19069,Franklin,4/11/2020,80,246
19071,Fremont,4/11/2020,47,90
19073,Greene,4/11/2020,99,352
19075,Grundy,4/11/2020,132,425
19077,Guthrie,4/11/2020,114,367
19079,Hamilton,4/11/2020,199,395
19081,Hancock,4/11/2020,164,307
19083,Hardin,4/11/2020,153,444
19085,Harrison,4/11/2020,109,228
19087,Henry,4/11/2020,368,625
19089,Howard,4/11/2020,192,232
19091,Humboldt,4/11/2020,114,247
19093,Ida,4/11/2020,45,161
19095,Iowa,4/11/2020,227,820
19097,Jackson,4/11/2020,302,817
19099,Jasper,4/11/2020,496,"1,457"
19101,Jefferson,4/11/2020,277,506
19103,Johnson,4/11/2020,"1,772","5,977"
19105,Jones,4/11/2020,231,790
