IDWD Research and Analysis,,,,,,,,,,
,,,,,,,,,,
Unemployment Insurance (UI) Claims,,,,,,,,,,
,,,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same,,
,,,,,,,,Week Last Year,,
"Adams County, IN",18,1,2020,April,4,14,968,8700.00%,,
"Adams County, IN",18,1,2020,April,4,15,403,100.00%,,
"Allen County, IN",18,3,2020,April,4,14,"6,848",7771.30%,,
"Allen County, IN",18,3,2020,April,4,15,"6,005",7223.20%,,
"Bartholomew County, IN",18,5,2020,April,4,14,"1,625",11507.10%,,
"Bartholomew County, IN",18,5,2020,April,4,15,"1,845",13078.60%,,
"Benton County, IN",18,7,2020,April,4,14,122,,,
"Benton County, IN",18,7,2020,April,4,15,132,100.00%,,
"Blackford County, IN",18,9,2020,April,4,14,257,100.00%,,
"Blackford County, IN",18,9,2020,April,4,15,194,100.00%,,
"Boone County, IN",18,11,2020,April,4,14,670,4685.70%,,
"Boone County, IN",18,11,2020,April,4,15,699,4560.00%,,
"Brown County, IN",18,13,2020,April,4,14,206,100.00%,,
"Brown County, IN",18,13,2020,April,4,15,248,100.00%,,
"Carroll County, IN",18,15,2020,April,4,14,265,2108.30%,,
"Carroll County, IN",18,15,2020,April,4,15,416,100.00%,,
"Cass County, IN",18,17,2020,April,4,14,574,655.30%,,
"Cass County, IN",18,17,2020,April,4,15,627,4378.60%,,
"Clark County, IN",18,19,2020,April,4,14,"1,827",8600.00%,,
"Clark County, IN",18,19,2020,April,4,15,"1,907",4440.50%,,
"Clay County, IN",18,21,2020,April,4,14,332,100.00%,,
"Clay County, IN",18,21,2020,April,4,15,344,2193.30%,,
"Clinton County, IN",18,23,2020,April,4,14,489,4790.00%,,
"Clinton County, IN",18,23,2020,April,4,15,652,100.00%,,
"Crawford County, IN",18,25,2020,April,4,14,175,100.00%,,
"Crawford County, IN",18,25,2020,April,4,15,165,100.00%,,
"Daviess County, IN",18,27,2020,April,4,14,201,100.00%,,
"Daviess County, IN",18,27,2020,April,4,15,224,1766.70%,,
"Dearborn County, IN",18,29,2020,April,4,14,525,100.00%,,
"Dearborn County, IN",18,29,2020,April,4,15,500,3746.20%,,
"Decatur County, IN",18,31,2020,April,4,14,802,5628.60%,,
"Decatur County, IN",18,31,2020,April,4,15,959,100.00%,,
"DeKalb County, IN",18,33,2020,April,4,14,838,7518.20%,,
"DeKalb County, IN",18,33,2020,April,4,15,706,5330.80%,,
"Delaware County, IN",18,35,2020,April,4,14,"1,696",3938.10%,,
"Delaware County, IN",18,35,2020,April,4,15,"1,565",5919.20%,,
"Dubois County, IN",18,37,2020,April,4,14,626,100.00%,,
"Dubois County, IN",18,37,2020,April,4,15,714,5850.00%,,
"Elkhart County, IN",18,39,2020,April,4,14,"7,487",7699.00%,,
"Elkhart County, IN",18,39,2020,April,4,15,"5,405",5147.60%,,
"Fayette County, IN",18,41,2020,April,4,14,454,100.00%,,
"Fayette County, IN",18,41,2020,April,4,15,432,100.00%,,
"Floyd County, IN",18,43,2020,April,4,14,"1,098",100.00%,,
"Floyd County, IN",18,43,2020,April,4,15,"1,185",100.00%,,
"Fountain County, IN",18,45,2020,April,4,14,277,100.00%,,
"Fountain County, IN",18,45,2020,April,4,15,304,100.00%,,
"Franklin County, IN",18,47,2020,April,4,14,405,100.00%,,
"Franklin County, IN",18,47,2020,April,4,15,374,100.00%,,
"Fulton County, IN",18,49,2020,April,4,14,371,100.00%,,
"Fulton County, IN",18,49,2020,April,4,15,326,100.00%,,
"Gibson County, IN",18,51,2020,April,4,14,909,100.00%,,
"Gibson County, IN",18,51,2020,April,4,15,"1,136",10227.30%,,
"Grant County, IN",18,53,2020,April,4,14,732,1563.60%,,
"Grant County, IN",18,53,2020,April,4,15,756,1700.00%,,
"Greene County, IN",18,55,2020,April,4,14,343,3330.00%,,
"Greene County, IN",18,55,2020,April,4,15,324,2845.50%,,
"Hamilton County, IN",18,57,2020,April,4,14,"3,756",4120.20%,,
"Hamilton County, IN",18,57,2020,April,4,15,"3,618",6478.20%,,
"Hancock County, IN",18,59,2020,April,4,14,"1,116",6100.00%,,
"Hancock County, IN",18,59,2020,April,4,15,"1,090",5350.00%,,
"Harrison County, IN",18,61,2020,April,4,14,604,4546.20%,,
"Harrison County, IN",18,61,2020,April,4,15,610,4257.10%,,
"Hendricks County, IN",18,63,2020,April,4,14,"1,782",3612.50%,,
"Hendricks County, IN",18,63,2020,April,4,15,"1,784",5654.80%,,
"Henry County, IN",18,65,2020,April,4,14,827,4252.60%,,
"Henry County, IN",18,65,2020,April,4,15,830,100.00%,,
"Howard County, IN",18,67,2020,April,4,14,"1,612",189.40%,,
"Howard County, IN",18,67,2020,April,4,15,"1,482",1902.70%,,
"Huntington County, IN",18,69,2020,April,4,14,647,100.00%,,
"Huntington County, IN",18,69,2020,April,4,15,549,2287.00%,,
"Jackson County, IN",18,71,2020,April,4,14,"1,071",5255.00%,,
"Jackson County, IN",18,71,2020,April,4,15,"1,317",10875.00%,,
"Jasper County, IN",18,73,2020,April,4,14,515,100.00%,,
"Jasper County, IN",18,73,2020,April,4,15,474,4640.00%,,
"Jay County, IN",18,75,2020,April,4,14,671,100.00%,,
"Jay County, IN",18,75,2020,April,4,15,281,100.00%,,
"Jefferson County, IN",18,77,2020,April,4,14,595,100.00%,,
"Jefferson County, IN",18,77,2020,April,4,15,651,100.00%,,
"Jennings County, IN",18,79,2020,April,4,14,536,100.00%,,
"Jennings County, IN",18,79,2020,April,4,15,641,100.00%,,
"Johnson County, IN",18,81,2020,April,4,14,"2,343",5614.60%,,
"Johnson County, IN",18,81,2020,April,4,15,"2,392",5215.60%,,
"Knox County, IN",18,83,2020,April,4,14,503,100.00%,,
"Knox County, IN",18,83,2020,April,4,15,510,100.00%,,
"Kosciusko County, IN",18,85,2020,April,4,14,"1,583",4697.00%,,
"Kosciusko County, IN",18,85,2020,April,4,15,"1,432",4239.40%,,
"LaGrange County, IN",18,87,2020,April,4,14,"1,257",100.00%,,
"LaGrange County, IN",18,87,2020,April,4,15,925,100.00%,,
"Lake County, IN",18,89,2020,April,4,14,"6,972",4125.50%,,
"Lake County, IN",18,89,2020,April,4,15,"6,324",3779.80%,,
"LaPorte County, IN",18,91,2020,April,4,14,"1,461",3552.50%,,
