County, Rate
Allen, 3.6
Anderson, 3.8
Atchison, 5.2
Barber, 3.0
Barton, 3.6
Bourbon, 4.4
Brown, 3.2
Butler, 3.5
Chase, 3.1
Chautauqua, 3.7
Cherokee, 3.2
Cheyenne, 2.6
Clark, 2.6
Clay, 3.3
Cloud, 3.3
Coffey, 5.3
Comanche, 3.0
Cowley, 3.5
Crawford, 4.1
Decatur, 3.1
Dickinson, 4.3
Doniphan, 3.7
Douglas, 3.2
Edwards, 2.4
Elk, 3.1
Ellis, 2.3
Ellsworth, 2.7
Finney, 2.2
Ford, 2.5
Franklin, 3.7
Geary, 4.6
Gove, 2.5
Graham, 3.0
Grant, 2.5
Gray, 2.3
Greeley, 1.9
Greenwood, 3.9
Hamilton, 1.9
Harper, 2.9
Harvey, 3.1
Haskell, 2.1
Hodgeman, 3.3
Jackson, 3.6
Jefferson, 3.7
Jewell, 2.7
Johnson, 2.7
Kearny, 2.2
Kingman, 3.5
Kiowa, 2.3
Labette, 3.9
Lane, 2.4
Leavenworth, 3.8
Lincoln, 2.8
Linn, 6.7
Logan, 2.1
Lyon, 3.7
Marion, 2.7
Marshall, 2.9
McPherson, 2.4
Meade, 2.3
Miami, 4.0
Mitchell, 2.1
Montgomery, 4.8
Morris, 3.4
Morton, 2.7
Nemaha, 2.8
Neosho, 4.7
Ness, 2.7
Norton, 2.0
Osage, 4.2
Osborne, 2.0
Ottawa, 2.9
Pawnee, 3.5
Phillips, 2.6
Pottawatomie, 3.2
Pratt, 2.8
Rawlins, 2.1
Reno, 3.3
Republic, 2.7
Rice, 2.7
Riley, 2.9
Rooks, 3.2
Rush, 3.2
Russell, 2.9
Saline, 3.4
Scott, 2.0
Sedgwick, 3.8
Seward, 3.1
Shawnee, 3.6
Sheridan, 2.6
Sherman, 2.7
Smith, 2.6
Stafford, 3.2
Stanton, 3.1
Stevens, 2.8
Sumner, 3.4
Thomas, 2.3
Trego, 3.3
Wabaunsee, 4.0
Wallace, 2.8
Washington, 2.8
Wichita, 2.0
Wilson, 4.4
Woodson, 4.2
Wyandotte, 4.5
