"Table 1: Initial Claims by County of Residence
February 2020",,,,
County of Residence,All Programs,UI,UCFE,UCX
State Total,"11,255","11,231",11,13
Adair,46,46,-,-
Allen,37,37,-,-
Anderson,55,55,-,-
Ballard,27,27,-,-
Barren,139,137,2,-
Bath,42,42,-,-
Bell,58,58,-,-
Boone,183,183,-,-
Bourbon,34,34,-,-
Boyd,79,79,-,-
Boyle,60,60,-,-
Bracken,18,18,-,-
Breathitt,37,37,-,-
Breckinridge,71,71,-,-
Bullitt,195,195,-,-
Butler,32,32,-,-
Caldwell,71,71,-,-
Calloway,110,110,-,-
Campbell,119,119,-,-
Carlisle,8,8,-,-
Carroll,37,37,-,-
Carter,91,91,-,-
Casey,32,32,-,-
Christian,176,175,-,1
Clark,109,109,-,-
Clay,40,40,-,-
Clinton,22,22,-,-
Crittenden,29,29,-,-
Cumberland,49,49,-,-
Daviess,225,225,-,-
Edmonson,40,40,-,-
Elliott,21,21,-,-
Estill,35,35,-,-
Fayette,499,495,2,2
Fleming,43,43,-,-
Floyd,91,91,-,-
Franklin,103,103,-,-
Fulton,8,8,-,-
Gallatin,20,20,-,-
Garrard,44,44,-,-
Grant,47,47,-,-
Graves,85,85,-,-
Grayson,113,113,-,-
Green,31,31,-,-
Greenup,81,81,-,-
Hancock,11,11,-,-
Hardin,284,283,-,1
Harlan,65,64,-,1
Harrison,34,34,-,-
Hart,49,48,1,-
Henderson,85,85,-,-
Henry,28,28,-,-
Hickman,8,8,-,-
Hopkins,182,182,-,-
Jackson,35,35,-,-
Jefferson,"1,891","1,889",2,-
Jessamine,97,97,-,-
Johnson,58,58,-,-
Kenton,221,220,1,-
Knott,27,27,-,-
Knox,65,65,-,-
Larue,32,32,-,-
Laurel,155,155,-,-
Lawrence,48,48,-,-
Lee,13,13,-,-
Leslie,13,13,-,-
Letcher,44,44,-,-
Lewis,43,43,-,-
Lincoln,74,74,-,-
Livingston,28,28,-,-
Logan,30,30,-,-
Lyon,22,22,-,-
Madison,230,230,-,-
Magoffin,114,114,-,-
Marion,49,49,-,-
Marshall,121,121,-,-
Martin,41,41,-,-
Mason,49,49,-,-
McCracken,190,190,-,-
McCreary,29,29,-,-
McLean,27,27,-,-
Meade,67,67,-,-
Menifee,30,30,-,-
Mercer,53,53,-,-
Metcalfe,49,49,-,-
Monroe,100,100,-,-
Montgomery,85,85,-,-
Morgan,63,63,-,-
Muhlenberg,117,117,-,-
Nelson,156,156,-,-
Nicholas,14,14,-,-
Ohio,79,79,-,-
Oldham,58,57,-,1
Owen,25,25,-,-
Owsley,13,13,-,-
Pendleton,36,36,-,-
Perry,63,63,-,-
Pike,125,124,1,-
Powell,43,43,-,-
Pulaski,220,220,-,-
Robertson,7,7,-,-
Rockcastle,70,70,-,-
Rowan,66,66,-,-
Russell,42,42,-,-
Scott,98,98,-,-
Shelby,80,80,-,-
Simpson,30,30,-,-
Spencer,35,35,-,-
Taylor,53,53,-,-
Todd,11,11,-,-
Trigg,62,62,-,-
Trimble,14,14,-,-
Union,30,30,-,-
Warren,347,347,-,-
Washington,31,31,-,-
Wayne,42,42,-,-
Webster,37,37,-,-
Whitley,46,46,-,-
Wolfe,24,24,-,-
Woodford,33,33,-,-
Interstate,244,235,2,7
Commuter,473,473,-,-
,,,,
"Table 1: Initial Claims by County of Residence
January 2020",,,,
County of Residence,All Programs,UI,UCFE,UCX
State Total,"16,775","16,748",17,10
Adair,50,50,-,-
Allen,43,43,-,-
Anderson,55,55,-,-
Ballard,41,41,-,-
Barren,159,157,2,-
Bath,80,80,-,-
Bell,59,59,-,-
Boone,250,249,1,-
Bourbon,45,45,-,-
Boyd,154,154,-,-
Boyle,105,105,-,-
Bracken,37,37,-,-
Breathitt,61,61,-,-
Breckinridge,83,83,-,-
Bullitt,264,264,-,-
Butler,41,41,-,-
Caldwell,59,59,-,-
Calloway,270,270,-,-
Campbell,169,168,1,-
Carlisle,10,10,-,-
Carroll,35,35,-,-
Carter,125,124,-,1
Casey,56,56,-,-
Christian,283,283,-,-
Clark,140,140,-,-
Clay,56,56,-,-
Clinton,22,22,-,-
Crittenden,33,33,-,-
Cumberland,32,32,-,-
Daviess,337,337,-,-
Edmonson,49,46,3,-
Elliott,30,30,-,-
Estill,27,27,-,-
Fayette,728,728,-,-
Fleming,57,57,-,-
Floyd,112,112,-,-
Franklin,633,633,-,-
Fulton,19,19,-,-
Gallatin,27,27,-,-
Garrard,52,52,-,-
