state_name,state_fips,state_abbrev,week_ended,initial_claims,continued_claims
Maine,23,ME,1/4/03,2284,13867
Maine,23,ME,1/11/03,2958,18008
Maine,23,ME,1/18/03,2702,18960
Maine,23,ME,1/25/03,2369,18281
Maine,23,ME,2/1/03,2565,21331
Maine,23,ME,2/8/03,1552,18270
Maine,23,ME,2/15/03,1670,19816
Maine,23,ME,2/22/03,1416,18286
Maine,23,ME,3/1/03,1720,20884
Maine,23,ME,3/8/03,1128,18244
Maine,23,ME,3/15/03,1404,19357
Maine,23,ME,3/22/03,1282,18189
Maine,23,ME,3/29/03,1515,18731
Maine,23,ME,4/5/03,1832,18019
Maine,23,ME,4/12/03,1456,17863
Maine,23,ME,4/19/03,1329,17090
Maine,23,ME,4/26/03,1176,14288
Maine,23,ME,5/3/03,1516,17138
Maine,23,ME,5/10/03,1203,14676
Maine,23,ME,5/17/03,1189,13718
Maine,23,ME,5/24/03,1029,12942
Maine,23,ME,5/31/03,1207,12830
Maine,23,ME,6/7/03,1040,11090
Maine,23,ME,6/14/03,1121,11546
Maine,23,ME,6/21/03,1386,11017
Maine,23,ME,6/28/03,1165,10997
Maine,23,ME,7/5/03,1204,10648
Maine,23,ME,7/12/03,1117,10438
Maine,23,ME,7/19/03,1204,11339
Maine,23,ME,7/26/03,1043,10639
Maine,23,ME,8/2/03,952,10329
Maine,23,ME,8/9/03,1013,10046
Maine,23,ME,8/16/03,907,9715
Maine,23,ME,8/23/03,888,9494
Maine,23,ME,8/30/03,877,9204
Maine,23,ME,9/6/03,883,8365
Maine,23,ME,9/13/03,958,8805
Maine,23,ME,9/20/03,942,8480
Maine,23,ME,9/27/03,890,8245
Maine,23,ME,10/4/03,1037,8147
Maine,23,ME,10/11/03,1170,8118
Maine,23,ME,10/18/03,1028,7558
Maine,23,ME,10/25/03,1413,8542
Maine,23,ME,11/1/03,1764,9543
Maine,23,ME,11/8/03,1426,8585
Maine,23,ME,11/15/03,1409,8903
Maine,23,ME,11/22/03,1633,10144
Maine,23,ME,11/29/03,1543,9797
Maine,23,ME,12/6/03,1807,11043
Maine,23,ME,12/13/03,2258,12237
Maine,23,ME,12/20/03,1878,12055
Maine,23,ME,12/27/03,1885,12336
Maine,23,ME,1/3/04,1693,12548
Maine,23,ME,1/10/04,3014,16223
Maine,23,ME,1/17/04,2557,16237
Maine,23,ME,1/24/04,2009,15921
Maine,23,ME,1/31/04,2935,19498
Maine,23,ME,2/7/04,1524,16543
Maine,23,ME,2/14/04,1370,17251
Maine,23,ME,2/21/04,1281,16719
Maine,23,ME,2/28/04,1687,19124
Maine,23,ME,3/6/04,1074,16388
Maine,23,ME,3/13/04,1237,17853
Maine,23,ME,3/20/04,1333,17212
