weekEnding,county,claims
10/2/2010,ADAIR,15
10/2/2010,ANDREW,11
10/2/2010,ATCHISON,3
10/2/2010,AUDRAIN,21
10/2/2010,BARRY,51
10/2/2010,BARTON,32
10/2/2010,BATES,22
10/2/2010,BENTON,28
10/2/2010,BOLLINGER,12
10/2/2010,BOONE,122
10/2/2010,BUCHANAN,108
10/2/2010,BUTLER,55
10/2/2010,CALDWELL,12
10/2/2010,CALLAWAY,40
10/2/2010,CAMDEN,72
10/2/2010,CAPE GIRARDEAU,83
10/2/2010,CARROLL,13
10/2/2010,CARTER,9
10/2/2010,CASS,89
10/2/2010,CEDAR,17
10/2/2010,CHARITON,8
10/2/2010,CHRISTIAN,81
10/2/2010,CLARK,1
10/2/2010,CLAY,234
10/2/2010,CLINTON,20
10/2/2010,COLE,52
10/2/2010,COOPER,22
10/2/2010,CRAWFORD,36
10/2/2010,DADE,5
10/2/2010,DALLAS,30
10/2/2010,DAVIESS,4
10/2/2010,DEKALB,10
10/2/2010,DENT,42
10/2/2010,DOUGLAS,20
10/2/2010,DUNKLIN,24
10/2/2010,FRANKLIN,189
10/2/2010,GASCONADE,19
10/2/2010,GENTRY,6
10/2/2010,GREENE,272
10/2/2010,GRUNDY,8
10/2/2010,HARRISON,3
10/2/2010,HENRY,23
10/2/2010,HICKORY,8
10/2/2010,HOLT,5
10/2/2010,HOWARD,7
10/2/2010,HOWELL,34
10/2/2010,IRON,14
10/2/2010,JACKSON,948
10/2/2010,JASPER,125
10/2/2010,JEFFERSON,343
10/2/2010,JOHNSON,47
10/2/2010,KNOX,2
10/2/2010,LACLEDE,79
10/2/2010,LAFAYETTE,30
10/2/2010,LAWRENCE,43
10/2/2010,LEWIS,7
10/2/2010,LINCOLN,114
10/2/2010,LINN,16
10/2/2010,LIVINGSTON,11
10/2/2010,MACON,15
10/2/2010,MADISON,7
10/2/2010,MARIES,15
10/2/2010,MARION,31
10/2/2010,MCDONALD,16
10/2/2010,MERCER,3
10/2/2010,MILLER,49
10/2/2010,MISSISSIPPI,18
10/2/2010,MONITEAU,21
10/2/2010,MONROE,11
10/2/2010,MONTGOMERY,14
10/2/2010,MORGAN,26
10/2/2010,NEW MADRID,17
10/2/2010,NEWTON,63
10/2/2010,NODAWAY,8
10/2/2010,OREGON,8
10/2/2010,OSAGE,22
10/2/2010,OZARK,13
10/2/2010,PEMISCOT,16
10/2/2010,PERRY,13
10/2/2010,PETTIS,48
10/2/2010,PHELPS,46
10/2/2010,PIKE,26
10/2/2010,PLATTE,82
10/2/2010,POLK,28
10/2/2010,PULASKI,57
10/2/2010,PUTNAM,6
10/2/2010,RALLS,13
10/2/2010,RANDOLPH,32
10/2/2010,RAY,31
10/2/2010,REYNOLDS,8
10/2/2010,RIPLEY,25
10/2/2010,SALINE,25
10/2/2010,SCHUYLER,3
10/2/2010,SCOTLAND,3
10/2/2010,SCOTT,52
10/2/2010,SHANNON,14
10/2/2010,SHELBY,6
10/2/2010,ST. CHARLES,415
10/2/2010,ST. CLAIR,5
10/2/2010,ST. FRANCOIS,89
10/2/2010,ST. LOUIS,1311
10/2/2010,ST. LOUIS CITY,526
10/2/2010,STE. GENEVIEVE,30
10/2/2010,STODDARD,31
10/2/2010,STONE,49
10/2/2010,SULLIVAN,4
10/2/2010,TANEY,83
10/2/2010,TEXAS,30
10/2/2010,VERNON,14
10/2/2010,WARREN,47
10/2/2010,WASHINGTON,40
10/2/2010,WAYNE,12
10/2/2010,WEBSTER,43
10/2/2010,WORTH,2
10/2/2010,WRIGHT,14
7/3/2010,ADAIR,38
7/3/2010,ANDREW,15
7/3/2010,ATCHISON,5
7/3/2010,AUDRAIN,28
7/3/2010,BARRY,47
7/3/2010,BARTON,8
7/3/2010,BATES,18
7/3/2010,BENTON,17
7/3/2010,BOLLINGER,24
7/3/2010,BOONE,145
7/3/2010,BUCHANAN,110
7/3/2010,BUTLER,126
7/3/2010,CALDWELL,3
7/3/2010,CALLAWAY,52
7/3/2010,CAMDEN,54
7/3/2010,CAPE GIRARDEAU,81
7/3/2010,CARROLL,10
7/3/2010,CARTER,12
7/3/2010,CASS,126
7/3/2010,CEDAR,25
7/3/2010,CHARITON,4
7/3/2010,CHRISTIAN,84
7/3/2010,CLARK,9
7/3/2010,CLAY,250
7/3/2010,CLINTON,14
7/3/2010,COLE,66
7/3/2010,COOPER,24
7/3/2010,CRAWFORD,43
7/3/2010,DADE,4
7/3/2010,DALLAS,22
7/3/2010,DAVIESS,5
7/3/2010,DEKALB,7
7/3/2010,DENT,13
7/3/2010,DOUGLAS,7
7/3/2010,DUNKLIN,43
7/3/2010,FRANKLIN,191
7/3/2010,GASCONADE,17
7/3/2010,GENTRY,5
7/3/2010,GREENE,272
7/3/2010,GRUNDY,10
7/3/2010,HARRISON,12
7/3/2010,HENRY,35
7/3/2010,HICKORY,5
7/3/2010,HOLT,3
7/3/2010,HOWARD,11
7/3/2010,HOWELL,126
7/3/2010,IRON,17
7/3/2010,JACKSON,1152
7/3/2010,JASPER,134
7/3/2010,JEFFERSON,328
7/3/2010,JOHNSON,69
7/3/2010,KNOX,16
7/3/2010,LACLEDE,85
7/3/2010,LAFAYETTE,46
7/3/2010,LAWRENCE,29
7/3/2010,LEWIS,5
7/3/2010,LINCOLN,89
7/3/2010,LINN,20
7/3/2010,LIVINGSTON,10
7/3/2010,MACON,16
7/3/2010,MADISON,14
7/3/2010,MARIES,6
7/3/2010,MARION,38
7/3/2010,MCDONALD,113
7/3/2010,MERCER,6
7/3/2010,MILLER,41
7/3/2010,MISSISSIPPI,34
7/3/2010,MONITEAU,17
7/3/2010,MONROE,12
7/3/2010,MONTGOMERY,16
7/3/2010,MORGAN,24
7/3/2010,NEW MADRID,20
7/3/2010,NEWTON,56
7/3/2010,NODAWAY,17
7/3/2010,OREGON,5
7/3/2010,OSAGE,17
7/3/2010,OZARK,7
7/3/2010,PEMISCOT,14
7/3/2010,PERRY,20
7/3/2010,PETTIS,45
7/3/2010,PHELPS,28
7/3/2010,PIKE,111
7/3/2010,PLATTE,87
7/3/2010,POLK,28
7/3/2010,PULASKI,29
7/3/2010,PUTNAM,6
7/3/2010,RALLS,12
7/3/2010,RANDOLPH,44
7/3/2010,RAY,27
7/3/2010,REYNOLDS,6
7/3/2010,RIPLEY,34
7/3/2010,SALINE,28
7/3/2010,SCHUYLER,9
7/3/2010,SCOTLAND,0
7/3/2010,SCOTT,68
7/3/2010,SHANNON,8
7/3/2010,SHELBY,5
7/3/2010,ST. CHARLES,402
7/3/2010,ST. CLAIR,8
7/3/2010,ST. FRANCOIS,100
7/3/2010,ST. LOUIS,1452
7/3/2010,ST. LOUIS CITY,646
7/3/2010,STE. GENEVIEVE,23
7/3/2010,STODDARD,72
7/3/2010,STONE,73
7/3/2010,SULLIVAN,5
7/3/2010,TANEY,56
7/3/2010,TEXAS,21
7/3/2010,VERNON,16
7/3/2010,WARREN,59
7/3/2010,WASHINGTON,38
7/3/2010,WAYNE,25
7/3/2010,WEBSTER,30
7/3/2010,WORTH,0
7/3/2010,WRIGHT,18
9/4/2010,ADAIR,13
9/4/2010,ANDREW,18
9/4/2010,ATCHISON,4
9/4/2010,AUDRAIN,23
9/4/2010,BARRY,33
9/4/2010,BARTON,11
9/4/2010,BATES,21
9/4/2010,BENTON,19
9/4/2010,BOLLINGER,24
9/4/2010,BOONE,146
9/4/2010,BUCHANAN,104
9/4/2010,BUTLER,51
9/4/2010,CALDWELL,8
9/4/2010,CALLAWAY,46
9/4/2010,CAMDEN,66
9/4/2010,CAPE GIRARDEAU,90
9/4/2010,CARROLL,9
9/4/2010,CARTER,10
9/4/2010,CASS,122
9/4/2010,CEDAR,12
