"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Carson City","2020-04-25","initial","551","539","12","2.23%","674"
"Churchill","2020-04-25","initial","149","184","-35","-19.02%","188"
"Clark","2020-04-25","initial","35,896","31,495","4,401","13.97%","45,057"
"Douglas","2020-04-25","initial","462","372","90","24.19%","519"
"Elko","2020-04-25","initial","398","369","29","7.86%","546"
"Esmeralda","2020-04-25","initial","2","3","-1","-33.33%","2"
"Eureka","2020-04-25","initial","7","1","6","600.00%","8"
"Humboldt","2020-04-25","initial","88","128","-40","-31.25%","103"
"Lander","2020-04-25","initial","31","16","15","93.75%","26"
"Lincoln","2020-04-25","initial","14","3","11","366.67%","16"
"Lyon","2020-04-25","initial","561","889","-328","-36.90%","729"
"Mineral","2020-04-25","initial","23","18","5","27.78%","25"
"Nye","2020-04-25","initial","315","268","47","17.54%","388"
"Pershing","2020-04-25","initial","17","17","0","0.00%","16"
"Storey","2020-04-25","initial","11","13","-2","-15.38%","16"
"Washoe","2020-04-25","initial","5,630","5,892","-262","-4.45%","7,072"
"White Pine","2020-04-25","initial","31","32","-1","-3.12%","40"
"Unknown","2020-04-25","initial","1,372","1,153","219","18.99%","1,456"
"Carson City","2020-04-25","continued","3,481","2,922","559","19.13%","2,734"
"Churchill","2020-04-25","continued","780","631","149","23.61%","584"
"Clark","2020-04-25","continued","252,035","213,330","38,705","18.14%","194,020"
"Douglas","2020-04-25","continued","2,319","1,951","368","18.86%","1,758"
"Elko","2020-04-25","continued","2,516","2,085","431","20.67%","1,800"
"Esmeralda","2020-04-25","continued","12","11","1","9.09%","10"
"Eureka","2020-04-25","continued","32","25","7","28.00%","21"
"Humboldt","2020-04-25","continued","466","334","132","39.52%","325"
"Lander","2020-04-25","continued","128","101","27","26.73%","102"
"Lincoln","2020-04-25","continued","74","73","1","1.37%","67"
"Lyon","2020-04-25","continued","3,194","2,279","915","40.15%","2,184"
"Mineral","2020-04-25","continued","127","103","24","23.30%","103"
"Nye","2020-04-25","continued","2,047","1,718","329","19.15%","1,594"
"Pershing","2020-04-25","continued","92","76","16","21.05%","78"
"Storey","2020-04-25","continued","77","67","10","14.93%","60"
"Washoe","2020-04-25","continued","32,104","25,293","6,811","26.93%","23,212"
"White Pine","2020-04-25","continued","211","187","24","12.83%","174"
"Unknown","2020-04-25","continued","4,606","3,819","787","20.61%","3,402"
"Carson City","2020-04-18","initial","539","662","-123","-18.58%","748"
"Churchill","2020-04-18","initial","184","186","-2","-1.08%","193"
"Clark","2020-04-18","initial","31,495","47,949","-16,454","-34.32%","50,817"
"Douglas","2020-04-18","initial","372","506","-134","-26.48%","538"
"Elko","2020-04-18","initial","369","579","-210","-36.27%","589"
"Esmeralda","2020-04-18","initial","3","2","1","50.00%","3"
"Eureka","2020-04-18","initial","1","12","-11","-91.67%","8"
"Humboldt","2020-04-18","initial","128","84","44","52.38%","107"
"Lander","2020-04-18","initial","16","20","-4","-20.00%","26"
"Lincoln","2020-04-18","initial","3","19","-16","-84.21%","17"
"Lyon","2020-04-18","initial","889","744","145","19.49%","739"
"Mineral","2020-04-18","initial","18","37","-19","-51.35%","27"
"Nye","2020-04-18","initial","268","382","-114","-29.84%","437"
"Pershing","2020-04-18","initial","17","16","1","6.25%","19"
"Storey","2020-04-18","initial","13","17","-4","-23.53%","17"
"Washoe","2020-04-18","initial","5,892","7,734","-1,842","-23.82%","7,581"
"White Pine","2020-04-18","initial","32","36","-4","-11.11%","44"
"Unknown","2020-04-18","initial","1,153","1,558","-405","-25.99%","1,485"
"Carson City","2020-04-18","continued","2,922","2,556","366","14.32%","2,138"
"Churchill","2020-04-18","continued","631","536","95","17.72%","445"
"Clark","2020-04-18","continued","213,330","180,288","33,042","18.33%","148,198"
"Douglas","2020-04-18","continued","1,951","1,647","304","18.46%","1,331"
"Elko","2020-04-18","continued","2,085","1,592","493","30.97%","1,284"
"Esmeralda","2020-04-18","continued","11","9","2","22.22%","8"
"Eureka","2020-04-18","continued","25","19","6","31.58%","14"
"Humboldt","2020-04-18","continued","334","293","41","13.99%","239"
"Lander","2020-04-18","continued","101","97","4","4.12%","83"
"Lincoln","2020-04-18","continued","73","68","5","7.35%","55"
"Lyon","2020-04-18","continued","2,279","1,817","462","25.43%","1,596"
"Mineral","2020-04-18","continued","103","100","3","3.00%","83"
"Nye","2020-04-18","continued","1,718","1,545","173","11.20%","1,220"
"Pershing","2020-04-18","continued","76","78","-2","-2.56%","65"
"Storey","2020-04-18","continued","67","54","13","24.07%","48"
"Washoe","2020-04-18","continued","25,293","20,726","4,567","22.04%","17,083"
"White Pine","2020-04-18","continued","187","164","23","14.02%","143"
"Unknown","2020-04-18","continued","3,819","3,086","733","23.75%","2,505"
"Carson City","2020-04-11","initial","662","943","-281","-29.80%","902"
"Churchill","2020-04-11","initial","186","232","-46","-19.83%","203"
"Clark","2020-04-11","initial","47,949","64,889","-16,940","-26.11%","62,689"
"Douglas","2020-04-11","initial","506","735","-229","-31.16%","608"
"Elko","2020-04-11","initial","579","839","-260","-30.99%","628"
"Esmeralda","2020-04-11","initial","2","3","-1","-33.33%","3"
"Eureka","2020-04-11","initial","12","10","2","20.00%","8"
"Humboldt","2020-04-11","initial","84","112","-28","-25.00%","102"
"Lander","2020-04-11","initial","20","39","-19","-48.72%","30"
"Lincoln","2020-04-11","initial","19","28","-9","-32.14%","22"
"Lyon","2020-04-11","initial","744","722","22","3.05%","715"
"Mineral","2020-04-11","initial","37","23","14","60.87%","34"
"Nye","2020-04-11","initial","382","587","-205","-34.92%","505"
"Pershing","2020-04-11","initial","16","15","1","6.67%","22"
"Storey","2020-04-11","initial","17","23","-6","-26.09%","20"
"Washoe","2020-04-11","initial","7,734","9,034","-1,300","-14.39%","8,337"
"White Pine","2020-04-11","initial","36","62","-26","-41.94%","52"
"Unknown","2020-04-11","initial","1,558","1,741","-183","-10.51%","1,498"
"Carson City","2020-04-11","continued","2,556","1,979","577","29.16%","1,502"
"Churchill","2020-04-11","continued","536","388","148","38.14%","312"
"Clark","2020-04-11","continued","180,288","130,429","49,859","38.23%","99,318"
"Douglas","2020-04-11","continued","1,647","1,117","530","47.45%","896"
"Elko","2020-04-11","continued","1,592","1,009","583","57.78%","814"
"Esmeralda","2020-04-11","continued","9","8","1","12.50%","6"
"Eureka","2020-04-11","continued","19","9","10","111.11%","9"
"Humboldt","2020-04-11","continued","293","208","85","40.87%","172"
"Lander","2020-04-11","continued","97","80","17","21.25%","68"
"Lincoln","2020-04-11","continued","68","54","14","25.93%","40"
"Lyon","2020-04-11","continued","1,817","1,444","373","25.83%","1,120"
"Mineral","2020-04-11","continued","100","81","19","23.46%","64"
"Nye","2020-04-11","continued","1,545","1,064","481","45.21%","849"
"Pershing","2020-04-11","continued","78","66","12","18.18%","52"
"Storey","2020-04-11","continued","54","44","10","22.73%","33"
"Washoe","2020-04-11","continued","20,726","14,725","6,001","40.75%","11,377"
"White Pine","2020-04-11","continued","164","134","30","22.39%","107"
"Unknown","2020-04-11","continued","3,086","2,098","988","47.09%","1,654"
"Carson City","2020-04-04","initial","943","848","95","11.20%","747"
"Churchill","2020-04-04","initial","232","171","61","35.67%","159"
"Clark","2020-04-04","initial","64,889","58,935","5,954","10.10%","52,219"
"Douglas","2020-04-04","initial","735","541","194","35.86%","487"
"Elko","2020-04-04","initial","839","569","270","47.45%","489"
"Esmeralda","2020-04-04","initial","3","3","0","0.00%","2"
