Oct-19,,,,,Jul-19,,,,,Jun-19,,,,,May-19,,,,,Apr-19,,,,,Mar-19,,,,,Feb-19,,,,,Jan-19,,,,,Dec-18,,,,,Nov-18,,,,,Oct-18,,,,,Sep-18,,,,,Aug-18,,,,,Jul-18,,,,,Jun-18,,,,,May-18,,,,,Apr-18,,,,,Mar-18,,,,,Feb-18,,,,,Jan-18,,,,,,,,,
FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,,,,,
,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,,,
,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,,,
STATE TOTAL*,,10359,6128,1662,STATE TOTAL*,,11190,7299,1269,STATE TOTAL*,,8170,6402,941,STATE TOTAL*,,"8,651","6,354","1,203",STATE TOTAL*,,"9,600","7,769","1,196",STATE TOTAL*,,"11,958","8,206","1,107",STATE TOTAL*,,"10,952","8,181","1,281",STATE TOTAL*,,"17,180","7,024","1,789",STATE TOTAL*,,"13,312","11,626","1,619",STATE TOTAL*,,"12,159","8,948","1,527",STATE TOTAL*,,"10,317","6,127","1,666",STATE TOTAL*,,"7,689","4,887","1,091",STATE TOTAL*,,"8,937","4,846","1,268",STATE TOTAL*,,"9,931","6,345","1,182",STATE TOTAL*,,"8,994","6,394","1,017",STATE TOTAL*,,"7,957","5,493","1,220",STATE TOTAL*,,"9,249","6,822","1,218",STATE TOTAL*,,"9,375","6,584","1,210",STATE TOTAL*,,"9,972","7,039","1,181",STATE TOTAL*,,"15,559","8,487","1,893",,,,,
1,BAKER,49,37,6,1,BAKER,28,23,2,1,BAKER,16,18,3,1,BAKER,34,11,6,1,BAKER,32,20,5,1,BAKER,36,22,9,1,BAKER,48,36,4,1,BAKER,128,30,9,1,BAKER,62,51,14,1,BAKER,46,40,2,1,BAKER,47,32,7,1,BAKER,26,12,6,1,BAKER,32,7,3,1,BAKER,24,14,1,1,BAKER,20,16,6,1,BAKER,17,16,0,1,BAKER,36,18,2,1,BAKER,37,22,8,1,BAKER,35,31,8,1,BAKER,76,43,10,,,,,
3,BENTON,124,43,10,3,BENTON,114,73,9,3,BENTON,103,57,10,3,BENTON,91,50,6,3,BENTON,123,75,8,3,BENTON,113,77,4,3,BENTON,113,60,3,3,BENTON,281,65,5,3,BENTON,131,97,10,3,BENTON,133,69,7,3,BENTON,95,58,14,3,BENTON,81,24,5,3,BENTON,112,39,5,3,BENTON,116,54,3,3,BENTON,91,50,1,3,BENTON,64,34,5,3,BENTON,89,58,6,3,BENTON,119,41,11,3,BENTON,94,38,3,3,BENTON,141,70,8,,,,,
5,CLACKAMAS,908,548,44,5,CLACKAMAS,925,488,23,5,CLACKAMAS,722,497,23,5,CLACKAMAS,782,488,26,5,CLACKAMAS,815,619,23,5,CLACKAMAS,882,542,15,5,CLACKAMAS,851,623,24,5,CLACKAMAS,"1,295",514,57,5,CLACKAMAS,850,743,21,5,CLACKAMAS,887,643,38,5,CLACKAMAS,866,492,44,5,CLACKAMAS,678,407,15,5,CLACKAMAS,791,396,26,5,CLACKAMAS,854,507,17,5,CLACKAMAS,778,526,19,5,CLACKAMAS,734,451,34,5,CLACKAMAS,821,613,22,5,CLACKAMAS,809,506,30,5,CLACKAMAS,854,586,28,5,CLACKAMAS,"1,119",669,38,,,,,
7,CLATSOP,122,70,18,7,CLATSOP,110,87,5,7,CLATSOP,54,47,4,7,CLATSOP,71,55,6,7,CLATSOP,70,70,5,7,CLATSOP,82,77,3,7,CLATSOP,85,80,8,7,CLATSOP,146,71,14,7,CLATSOP,184,111,10,7,CLATSOP,149,114,9,7,CLATSOP,97,89,6,7,CLATSOP,79,54,6,7,CLATSOP,75,34,4,7,CLATSOP,65,69,9,7,CLATSOP,65,44,6,7,CLATSOP,44,49,9,7,CLATSOP,59,78,10,7,CLATSOP,81,95,11,7,CLATSOP,80,86,5,7,CLATSOP,168,107,9,,,,,
9,COLUMBIA,154,102,11,9,COLUMBIA,141,102,12,9,COLUMBIA,125,109,4,9,COLUMBIA,118,87,7,9,COLUMBIA,132,117,3,9,COLUMBIA,117,95,12,9,COLUMBIA,160,130,8,9,COLUMBIA,191,121,12,9,COLUMBIA,149,180,6,9,COLUMBIA,127,123,8,9,COLUMBIA,131,120,9,9,COLUMBIA,103,104,2,9,COLUMBIA,118,89,8,9,COLUMBIA,153,121,1,9,COLUMBIA,167,119,4,9,COLUMBIA,127,90,7,9,COLUMBIA,129,103,6,9,COLUMBIA,116,94,8,9,COLUMBIA,167,118,6,9,COLUMBIA,190,125,9,,,,,
11,COOS,199,130,11,11,COOS,222,238,9,11,COOS,165,133,2,11,COOS,175,132,6,11,COOS,155,165,9,11,COOS,204,229,8,11,COOS,173,249,10,11,COOS,284,149,17,11,COOS,268,340,11,11,COOS,442,249,12,11,COOS,223,146,11,11,COOS,149,101,6,11,COOS,137,123,11,11,COOS,158,111,9,11,COOS,149,123,9,11,COOS,137,103,6,11,COOS,178,166,7,11,COOS,139,176,2,11,COOS,135,141,9,11,COOS,280,199,20,,,,,
13,CROOK,88,43,1,13,CROOK,66,38,1,13,CROOK,43,33,2,13,CROOK,56,34,1,13,CROOK,54,45,1,13,CROOK,126,71,3,13,CROOK,84,81,6,13,CROOK,155,49,5,13,CROOK,109,77,5,13,CROOK,82,75,7,13,CROOK,77,34,5,13,CROOK,51,31,2,13,CROOK,58,24,4,13,CROOK,44,29,2,13,CROOK,39,29,3,13,CROOK,47,31,4,13,CROOK,48,31,6,13,CROOK,54,42,4,13,CROOK,68,55,6,13,CROOK,131,49,11,,,,,
