Initial Claims by County/City,,,,,,,,,,,,,,,
FIPS,COUNTY,March 14 Claims,March 21 Claims,March 28 Claims,April 4 Claims,April 11 Claims,April 18 Claims,,,*Source: Virginia Employment Commission,,,,,
1,Accomack,6,121,320,409,200,170,,,**New data will be released every Thursday,,,,,
3,Albermarle,12,589,"1,102","1,429",846,602,,,***Reported state totals may vary because of interstate claims or missing FIPS codes in the data,,,,,
510,Alexandria,33,797,"1,683","2,578","1,895","1,398",,,,,,,,
5,Alleghany,1,46,76,77,58,38,,,"****For state totals, please refer to the Unemployment Claims Press Release on the VEC website, vec.virginia.gov,  or Department of Labor, https://oui.doleta.gov/unemploy/claims.asp",,,,,
7,Amelia,2,48,134,167,109,88,,,,,,,,
9,Amherst,9,122,322,354,264,197,,,,,,,,
11,Appomattox,4,35,90,123,111,88,,,,,,,,
13,Arlington,19,849,"1,752","2,484","1,897","1,438",,,,,,,,
15,Augusta,19,196,500,572,439,339,,,,,,,,
17,Bath,2,142,187,118,75,52,,,,,,,,
19,Bedford County,20,258,797,986,640,474,,,,,,,,
21,Bland,1,13,50,62,56,55,,,,,,,,
23,Botetourt,4,93,310,356,280,196,,,,,,,,
520,Bristol,7,105,186,229,210,133,,,,,,,,
25,Brunswick,5,39,140,134,91,91,,,,,,,,
27,Buchanan,3,17,71,207,153,75,,,,,,,,
29,Buckingham,5,35,117,118,89,55,,,,,,,,
530,Buena Vista,2,44,137,111,90,81,,,,,,,,
31,Campbell,15,147,338,448,351,286,,,,,,,,
33,Caroline,5,133,372,435,279,233,,,,,,,,
35,Carroll,115,175,589,626,513,305,,,,,,,,
36,Charles City,0,19,59,72,41,48,,,,,,,,
37,Charlotte,4,16,78,122,93,78,,,,,,,,
540,Charlottesville,17,590,816,985,621,504,,,,,,,,
550,Chesapeake,54,"1,265","2,919","3,702","2,597","2,119",,,,,,,,
41,Chesterfield,83,"1,970","4,219","5,720","3,919","3,173",,,,,,,,
43,Clarke,3,54,162,205,141,97,,,,,,,,
570,Colonial Heights,8,174,336,395,318,213,,,,,,,,
