CountyFips,County,Year,Week,Week ending,Initial claims,Change from prior week,% change,,,,
1,ADAMS,2020,Week 01,01/05/20 - 01/11/20,22,1,4.8%,,,,
1,ADAMS,2020,Week 02,01/12/20 - 01/18/20,33,11,50.0%,,,,
1,ADAMS,2020,Week 03,01/19/20 - 01/25/20,16,-17,-51.5%,,,,
1,ADAMS,2020,Week 04,01/26/20 - 02/01/20,24,8,50.0%,,,,
1,ADAMS,2020,Week 05,02/02/20 - 02/08/20,20,-4,-16.7%,,,,
1,ADAMS,2020,Week 06,02/09/20 - 02/15/20,14,-6,-30.0%,,,,
1,ADAMS,2020,Week 07,02/16/20 - 02/22/20,8,-6,-42.9%,,,,
1,ADAMS,2020,Week 08,02/23/20 - 02/29/20,37,29,362.5%,,,,
1,ADAMS,2020,Week 09,03/01/20 - 03/07/20,20,-17,-45.9%,,,,
1,ADAMS,2020,Week 10,03/08/20 - 03/14/20,18,-2,-10.0%,,,,
1,ADAMS,2020,Week 11,03/15/20 - 03/21/20,154,136,755.6%,,,,
1,ADAMS,2020,Week 12,03/22/20 - 03/28/20,176,22,14.3%,,,,
1,ADAMS,2020,Week 13,03/29/20 - 04/04/20,202,26,14.8%,,,,
1,ADAMS,2020,Week 14,04/05/20 - 04/11/20,210,8,4.0%,,,,
1,ADAMS,2020,Week 15,04/12/20 - 04/18/20,170,-40,-19.0%,,,,
3,ASOTIN,2020,Week 01,01/05/20 - 01/11/20,17,-7,-29.2%,,,,
3,ASOTIN,2020,Week 02,01/12/20 - 01/18/20,13,-4,-23.5%,,,,
3,ASOTIN,2020,Week 03,01/19/20 - 01/25/20,10,-3,-23.1%,,,,
3,ASOTIN,2020,Week 04,01/26/20 - 02/01/20,16,6,60.0%,,,,
3,ASOTIN,2020,Week 05,02/02/20 - 02/08/20,6,-10,-62.5%,,,,
3,ASOTIN,2020,Week 06,02/09/20 - 02/15/20,10,4,66.7%,,,,
3,ASOTIN,2020,Week 07,02/16/20 - 02/22/20,6,-4,-40.0%,,,,
3,ASOTIN,2020,Week 08,02/23/20 - 02/29/20,5,-1,-16.7%,,,,
3,ASOTIN,2020,Week 09,03/01/20 - 03/07/20,5,0,0.0%,,,,
3,ASOTIN,2020,Week 10,03/08/20 - 03/14/20,8,3,60.0%,,,,
3,ASOTIN,2020,Week 11,03/15/20 - 03/21/20,113,105,1312.5%,,,,
3,ASOTIN,2020,Week 12,03/22/20 - 03/28/20,176,63,55.8%,,,,
3,ASOTIN,2020,Week 13,03/29/20 - 04/04/20,196,20,11.4%,,,,
3,ASOTIN,2020,Week 14,04/05/20 - 04/11/20,131,-65,-33.2%,,,,
3,ASOTIN,2020,Week 15,04/12/20 - 04/18/20,118,-13,-9.9%,,,,
5,BENTON,2020,Week 01,01/05/20 - 01/11/20,312,-38,-10.9%,,,,
5,BENTON,2020,Week 02,01/12/20 - 01/18/20,294,-18,-5.8%,,,,
5,BENTON,2020,Week 03,01/19/20 - 01/25/20,262,-32,-10.9%,,,,
5,BENTON,2020,Week 04,01/26/20 - 02/01/20,202,-60,-22.9%,,,,
5,BENTON,2020,Week 05,02/02/20 - 02/08/20,212,10,5.0%,,,,
5,BENTON,2020,Week 06,02/09/20 - 02/15/20,181,-31,-14.6%,,,,
